"","V1","V2","V3","V4","V5","V6","V7"
"1",3,1,1,1,2,2,1
"2",2,1,2,1,3,1,1
"3",1,1,1,3,3,1,2
"4",1,3,3,2,1,2,2
"5",3,1,3,1,3,2,3
"6",2,1,2,1,1,3,2
"7",3,3,1,3,2,1,1
"8",2,3,1,2,1,1,1
"9",1,3,3,1,3,1,2
"10",1,2,2,3,2,1,2
"11",2,2,1,2,2,2,2
"12",1,2,3,1,2,3,3
"13",1,3,2,3,3,2,3
"14",3,2,1,3,1,2,2
"15",3,1,2,3,1,2,3
"16",1,2,2,2,2,1,1
"17",2,3,3,1,2,3,1
"18",3,3,2,2,3,2,1
"19",3,3,2,1,2,1,3
"20",1,2,2,1,1,2,2
"21",2,1,3,2,2,1,3
"22",3,2,3,2,1,3,3
"23",2,3,3,3,1,1,3
"24",3,3,3,3,3,3,2
"25",2,1,1,2,1,3,1
"26",1,2,1,1,3,3,1
"27",2,2,2,2,2,2,2
"28",3,1,2,2,3,3,1
"29",3,1,3,3,2,1,2
"30",1,3,1,2,2,3,3
"31",1,1,3,3,1,2,1
"32",3,2,3,1,1,1,1
"33",1,1,1,1,1,1,3
"34",2,2,2,2,2,2,2
"35",1,1,3,2,3,3,2
"36",1,3,2,3,1,3,1
"37",2,2,3,3,3,2,1
"38",3,3,1,1,1,3,2
"39",3,2,1,2,3,1,3
"40",2,2,2,3,3,3,3
"41",2,1,1,3,2,3,3
"42",2,3,1,1,3,2,3
