"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,1,3,1,1,1,2,1,1,2
"2",1,2,2,1,1,3,2,2,3,1
"3",3,3,2,2,1,1,1,3,1,2
"4",3,3,1,1,2,3,2,1,2,3
"5",3,1,2,1,3,2,1,2,3,3
"6",3,1,1,3,1,2,3,2,2,1
"7",1,3,2,3,3,1,3,2,2,3
"8",1,2,1,1,2,2,3,3,1,3
"9",1,3,3,2,3,2,2,2,1,1
"10",1,1,1,2,3,1,2,1,3,2
"11",1,2,3,3,1,2,1,1,2,3
"12",2,3,3,1,1,2,3,3,3,2
"13",2,3,2,2,2,1,3,1,3,1
"14",3,2,2,3,2,2,1,1,1,1
"15",2,1,2,3,3,3,3,3,1,2
"16",2,1,1,2,1,3,2,2,1,3
"17",2,2,1,1,3,1,1,3,2,1
"18",1,1,3,2,2,3,1,3,2,1
"19",3,2,3,2,3,3,3,1,2,2
"20",3,2,3,3,2,1,2,3,3,3
"21",2,3,1,3,2,3,1,2,3,2
