"","V1","V2","V3","V4","V5"
"1",2,1,2,2,1
"2",1,3,2,1,2
"3",2,1,3,1,2
"4",2,3,2,3,2
"5",1,3,3,2,2
"6",3,3,1,2,2
"7",2,3,3,3,3
"8",1,2,3,2,1
"9",3,1,2,3,1
"10",3,3,2,2,3
"11",3,1,1,1,2
"12",3,1,3,2,3
"13",1,2,1,1,2
"14",2,2,1,1,1
"15",2,1,2,2,3
"16",3,2,3,3,2
"17",1,2,3,1,3
"18",3,2,2,1,3
"19",2,2,3,3,1
"20",3,2,1,3,3
"21",1,3,1,3,1
"22",1,1,1,2,3
"23",3,3,3,1,1
"24",1,1,2,1,1
"25",3,2,1,2,1
"26",2,3,2,2,1
"27",2,3,1,1,3
"28",1,1,3,3,2
"29",1,2,2,3,3
"30",2,1,1,3,2
