"","V1","V2"
"1",3,1
"2",1,2
"3",1,2
"4",2,1
"5",3,3
"6",2,1
"7",3,2
"8",2,2
"9",3,2
"10",1,3
"11",1,3
"12",2,1
"13",1,1
"14",3,1
"15",2,1
"16",2,2
"17",3,1
"18",1,2
"19",2,2
"20",3,3
"21",1,2
"22",3,2
"23",1,1
"24",2,3
"25",2,3
"26",2,2
"27",3,1
"28",3,2
"29",2,3
"30",3,3
"31",2,3
"32",3,3
"33",2,2
"34",1,2
"35",2,3
"36",2,2
"37",3,2
"38",1,1
"39",3,3
"40",1,1
"41",1,3
"42",1,3
"43",3,1
"44",1,3
"45",3,1
"46",1,1
"47",2,1
"48",2,2
"49",1,1
"50",1,3
"51",3,3
