"","V1","V2","V3","V4"
"1",2,6,2,4
"2",4,4,5,4
"3",6,1,5,6
"4",2,4,3,6
"5",2,1,5,4
"6",3,6,3,2
"7",3,6,1,5
"8",6,5,3,4
"9",1,5,4,5
"10",1,2,1,6
"11",4,3,5,3
"12",5,6,4,6
"13",3,4,2,1
"14",6,6,2,1
"15",4,2,6,5
"16",5,3,3,6
"17",1,3,3,2
"18",6,2,4,4
"19",3,2,4,3
"20",5,4,5,1
"21",2,3,1,1
"22",1,1,3,5
"23",6,3,6,2
"24",3,3,4,5
"25",6,4,1,5
"26",3,1,6,2
"27",2,5,6,1
"28",2,3,6,6
"29",1,2,5,1
"30",5,1,1,2
"31",4,6,4,2
"32",6,5,6,3
"33",3,2,2,4
"34",3,5,5,6
"35",4,1,2,5
"36",5,1,4,1
"37",4,5,1,2
"38",5,3,1,4
"39",5,6,6,5
"40",4,2,3,1
"41",4,5,2,6
"42",1,5,1,3
"43",2,1,2,3
"44",6,2,2,3
"45",1,4,6,4
"46",1,6,5,3
"47",5,4,3,3
"48",2,4,4,2
