"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,1,3,3,1,3,1,2,4
"2",2,3,1,4,1,4,3,1,3
"3",4,2,1,3,4,3,1,4,2
"4",1,2,4,2,3,4,2,3,4
"5",2,2,2,4,3,1,1,1,2
"6",3,4,2,3,4,4,4,2,2
"7",1,3,2,3,4,1,3,4,4
"8",1,2,4,4,2,2,4,4,2
"9",4,1,2,4,2,4,2,3,3
"10",1,4,2,2,1,2,2,1,2
"11",3,4,4,2,1,3,4,4,3
"12",2,1,1,1,3,2,2,4,3
"13",1,3,1,1,3,3,3,2,1
"14",2,4,3,4,4,3,2,3,1
"15",4,3,4,3,2,1,2,2,1
"16",4,2,3,1,1,1,3,3,2
"17",4,4,3,4,3,2,3,2,4
"18",2,1,3,2,4,1,4,2,3
"19",3,4,1,2,2,1,1,3,4
"20",3,3,4,1,4,2,1,1,3
"21",3,1,1,3,1,2,4,3,1
"22",3,1,4,2,3,4,3,1,1
"23",2,3,3,1,2,4,1,4,1
"24",4,2,2,1,2,3,4,1,4
