"","V1","V2","V3","V4","V5"
"1",2,5,1,3,3
"2",1,6,3,2,5
"3",6,6,2,1,4
"4",6,4,1,6,5
"5",2,1,3,1,1
"6",4,4,6,2,1
"7",2,2,3,6,6
"8",1,1,1,5,4
"9",5,5,1,3,1
"10",2,5,6,6,4
"11",2,6,4,1,2
"12",3,4,2,1,2
"13",5,6,6,3,2
"14",5,4,3,5,4
"15",1,4,5,4,1
"16",1,3,5,1,6
"17",3,2,4,2,1
"18",6,4,5,1,3
"19",2,3,6,5,2
"20",3,1,6,3,5
"21",4,3,3,3,4
"22",2,2,4,4,4
"23",3,3,2,4,5
"24",6,1,2,5,3
"25",1,3,1,2,3
"26",4,5,3,4,3
"27",1,2,6,3,3
"28",5,3,5,6,6
"29",5,2,1,4,2
"30",6,5,6,4,6
"31",1,4,4,5,5
"32",4,1,4,4,2
"33",3,6,3,5,1
"34",5,1,2,2,6
"35",4,3,2,6,1
"36",2,4,2,3,6
"37",3,1,5,6,3
"38",5,1,6,1,4
"39",4,5,4,2,6
"40",3,5,5,2,4
"41",1,5,2,6,2
"42",6,2,4,3,5
"43",3,6,1,4,6
"44",4,6,5,5,5
"45",6,3,3,2,2
"46",5,6,4,6,3
"47",6,2,5,5,1
"48",4,2,1,1,5
