"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",5,3,3,1,5,2,1,1,5,3
"2",4,1,4,4,1,2,5,5,4,1
"3",5,6,6,5,3,2,3,4,2,1
"4",3,5,1,1,2,2,1,4,4,2
"5",3,4,5,6,3,6,4,6,1,3
"6",6,4,3,5,2,5,1,6,5,4
"7",1,4,3,4,3,2,2,6,2,6
"8",3,5,2,3,1,4,3,1,6,6
"9",5,4,1,3,2,3,6,2,2,1
"10",5,3,2,5,4,6,5,1,5,2
"11",6,4,4,2,1,2,6,1,4,4
"12",5,5,4,3,6,1,2,6,3,5
"13",4,6,5,4,2,4,1,1,3,5
"14",3,6,3,5,6,5,5,5,4,6
"15",3,3,4,6,1,5,2,2,3,1
"16",4,1,2,5,6,4,1,5,3,1
"17",4,6,6,1,3,5,5,2,3,3
"18",4,4,1,2,5,1,4,5,5,6
"19",5,2,2,6,2,1,2,2,1,3
"20",4,1,1,2,3,5,2,3,6,3
"21",6,5,1,6,5,5,3,3,2,5
"22",4,5,5,6,5,2,5,2,6,2
"23",2,2,3,6,2,4,6,3,6,4
"24",5,3,6,6,4,3,6,5,3,5
"25",1,5,5,3,4,5,6,5,5,1
"26",2,6,4,6,4,1,1,3,4,4
"27",1,6,2,4,1,3,4,3,6,2
"28",1,1,2,3,5,2,5,2,4,5
"29",1,2,5,1,3,3,2,1,4,1
"30",2,4,1,2,6,4,4,1,3,2
"31",5,6,4,1,6,4,6,4,6,4
"32",1,4,6,5,1,1,3,4,5,3
"33",4,5,1,4,1,6,5,6,3,4
"34",1,5,3,5,4,4,4,1,1,4
"35",1,3,4,1,2,6,3,5,5,5
"36",2,5,5,2,2,1,5,3,1,5
"37",6,6,2,3,4,3,2,5,1,3
"38",1,1,4,4,5,6,6,3,2,3
"39",6,1,3,1,1,5,4,4,2,5
"40",3,1,6,4,6,1,4,1,2,4
"41",4,3,4,1,6,3,3,2,1,6
"42",6,1,5,5,3,3,3,2,5,6
"43",2,2,1,6,6,3,3,6,5,3
"44",2,2,2,2,4,6,1,2,2,5
"45",3,2,1,5,3,2,6,4,1,6
"46",6,4,6,4,6,6,2,3,4,2
"47",2,3,2,1,3,1,6,6,3,2
"48",3,1,6,2,4,3,2,6,6,4
"49",6,2,5,2,5,4,5,6,2,2
"50",5,2,6,3,2,6,4,3,4,6
"51",2,3,5,4,5,5,1,4,6,6
"52",6,2,3,3,4,1,4,4,6,1
"53",3,6,3,2,5,6,3,4,1,1
"54",2,3,6,3,1,4,1,5,1,2
