"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",2,2,1,3,2,2,3,2,3,3,1,1,3,1,3
"2",3,1,3,3,2,3,1,2,1,2,1,2,1,2,3
"3",1,1,1,2,3,3,2,2,3,3,3,1,2,3,2
"4",2,1,3,2,1,1,2,2,3,3,1,3,3,3,2
"5",1,1,3,3,3,2,3,3,2,3,2,3,1,2,2
"6",2,1,2,2,1,3,1,2,2,1,3,3,1,3,1
"7",1,2,3,2,1,1,3,3,3,1,3,2,2,2,3
"8",2,1,3,3,2,3,3,2,3,1,2,2,3,1,1
"9",2,1,1,1,2,3,1,3,2,1,3,2,2,1,2
"10",1,2,2,2,3,2,1,3,1,1,2,3,3,1,3
"11",3,3,3,2,3,2,2,1,2,1,1,3,1,1,2
"12",1,3,2,1,2,1,3,3,3,2,2,1,3,3,2
"13",1,3,1,1,3,2,3,2,1,2,3,2,1,2,3
"14",3,2,1,1,1,2,2,3,3,1,2,1,1,2,1
"15",2,1,2,1,1,2,3,1,2,3,1,1,2,2,1
"16",3,3,2,3,3,1,2,2,2,1,3,1,3,2,3
"17",1,2,3,2,1,3,2,1,1,2,1,1,2,1,3
"18",3,3,2,3,1,2,2,1,1,3,1,2,1,3,2
"19",2,3,1,2,1,1,3,1,1,1,2,1,2,1,2
"20",3,1,1,2,3,1,1,3,2,2,1,1,3,2,1
"21",3,1,2,2,2,2,3,1,3,2,3,3,1,1,3
"22",1,2,2,1,2,1,3,2,1,1,1,3,2,3,1
"23",2,3,1,3,3,2,1,2,3,1,1,2,2,3,1
"24",3,1,3,1,2,2,1,1,2,1,2,1,2,3,3
"25",1,2,1,1,2,1,1,1,3,2,1,3,1,2,2
"26",2,2,3,3,2,2,1,3,1,3,3,1,3,3,2
"27",2,1,1,3,2,1,2,3,1,2,2,3,1,3,3
"28",1,2,2,3,3,3,1,1,3,2,2,1,1,2,1
"29",3,2,2,1,3,3,2,3,3,3,1,2,2,1,3
"30",1,1,1,3,1,2,2,1,1,1,3,2,3,2,2
"31",2,3,3,1,3,3,2,1,3,2,3,3,3,2,2
"32",1,3,3,2,2,1,2,2,2,3,3,1,1,1,1
"33",2,2,2,2,3,3,3,3,1,1,1,1,1,3,2
"34",2,1,2,1,3,1,2,1,1,3,2,2,3,1,1
"35",3,2,1,1,1,3,3,2,2,2,2,3,3,3,3
"36",3,2,2,3,1,1,1,2,3,3,3,3,2,1,2
"37",3,3,1,2,2,3,3,3,1,3,3,3,2,2,1
"38",1,3,2,3,1,3,2,3,2,2,1,3,2,1,1
"39",2,3,3,1,1,1,1,3,2,3,2,2,1,2,3
"40",3,3,3,1,1,2,1,2,1,2,2,2,3,1,1
"41",1,3,1,2,2,3,1,1,2,3,2,2,3,3,3
"42",3,2,3,3,3,1,3,1,2,2,3,2,2,3,1
