"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",1,2,3,3,2,2,3,1,3,1,3,1,2,3
"2",1,2,2,3,2,3,3,2,1,2,1,3,1,1
"3",3,2,3,1,2,3,1,3,3,2,1,2,3,3
"4",3,1,2,2,2,3,3,2,3,1,2,1,1,1
"5",1,3,3,2,3,2,1,2,3,3,1,2,1,2
"6",3,1,2,2,3,2,3,3,2,3,3,1,3,2
"7",1,3,2,1,2,2,1,3,1,3,3,1,2,1
"8",3,2,2,1,3,1,2,1,3,3,2,3,2,1
"9",3,2,1,2,2,1,1,1,1,1,3,3,1,2
"10",2,3,3,1,3,1,2,2,1,1,2,1,3,2
"11",2,3,3,2,3,3,3,3,2,1,3,3,2,1
"12",1,1,1,1,3,3,2,1,2,2,3,2,1,2
"13",3,3,3,3,2,2,2,3,2,3,2,3,1,3
"14",3,3,1,3,2,1,3,3,3,2,1,2,2,2
"15",1,3,1,2,1,1,3,1,2,2,2,2,3,1
"16",3,3,1,2,1,3,2,2,1,1,3,2,2,3
"17",1,1,2,1,1,3,1,2,2,1,2,3,2,3
"18",2,3,2,2,1,2,1,1,3,1,1,3,3,2
"19",1,1,3,2,1,1,2,3,1,2,2,3,1,2
"20",2,2,2,1,1,1,3,2,3,3,3,2,1,3
"21",1,1,2,3,3,1,2,3,2,1,1,2,3,3
"22",2,1,3,3,2,3,2,1,1,3,2,2,3,1
"23",2,1,1,3,3,2,1,2,3,2,3,3,2,1
"24",3,1,3,1,1,2,3,1,1,2,1,2,2,2
"25",2,1,1,2,2,1,1,1,2,3,1,1,2,3
"26",2,2,1,1,3,2,3,2,1,3,1,3,3,3
"27",2,2,1,1,1,2,2,3,2,1,1,1,1,1
"28",2,3,2,3,3,3,1,1,1,2,2,1,1,3
"29",3,2,3,3,1,1,1,2,2,2,3,1,3,1
"30",1,2,1,3,1,3,2,3,3,3,2,1,3,2
