"","V1","V2","V3","V4","V5","V6"
"1",5,5,4,3,4,4
"2",3,1,4,4,1,3
"3",3,1,5,3,5,5
"4",1,3,3,3,1,3
"5",4,1,1,4,4,3
"6",2,5,2,2,4,2
"7",3,4,1,5,2,1
"8",2,5,5,5,3,4
"9",5,3,3,5,1,4
"10",5,4,1,2,3,3
"11",3,3,1,3,3,5
"12",4,4,4,5,5,2
"13",1,4,1,4,5,4
"14",1,1,2,5,3,2
"15",1,2,5,2,5,3
"16",4,5,2,4,1,5
"17",1,5,3,3,2,1
"18",2,1,2,2,2,4
"19",3,5,3,1,5,3
"20",3,3,5,1,3,2
"21",5,2,5,4,2,2
"22",2,2,1,1,1,2
"23",2,3,4,4,4,1
"24",1,4,4,1,2,5
"25",4,4,5,2,1,1
"26",2,2,3,5,4,5
"27",5,2,2,3,5,1
"28",4,1,3,1,3,1
"29",5,3,2,1,4,5
"30",4,2,4,2,2,4
