"","V1","V2","V3","V4"
"1",2,3,3,2
"2",2,3,2,1
"3",3,2,1,2
"4",2,1,1,2
"5",3,2,1,2
"6",2,1,3,2
"7",2,1,2,3
"8",1,2,3,2
"9",1,3,1,3
"10",2,2,3,3
"11",2,1,2,1
"12",1,2,2,3
"13",3,2,3,2
"14",2,2,1,1
"15",3,3,2,2
"16",1,2,2,1
"17",1,2,1,2
"18",2,3,3,2
"19",1,3,2,2
"20",2,2,3,1
"21",2,2,3,3
"22",3,1,2,2
"23",3,3,3,1
"24",2,1,1,2
"25",2,3,1,2
"26",1,2,2,3
"27",1,3,1,1
"28",3,3,1,1
"29",3,1,2,2
"30",2,3,2,1
"31",3,1,3,3
"32",3,2,2,3
"33",1,1,3,3
"34",1,3,3,3
"35",3,3,1,3
"36",1,1,1,3
"37",3,3,3,3
"38",2,3,2,3
"39",3,1,1,3
"40",3,2,2,1
"41",1,1,1,1
"42",1,1,3,1
"43",1,3,3,1
"44",3,1,1,1
"45",1,1,2,2
"46",1,2,2,1
"47",2,2,1,3
"48",3,1,3,1
