"","V1","V2","V3","V4"
"1",1,5,5,4
"2",5,4,1,4
"3",3,3,3,3
"4",2,1,1,5
"5",4,3,5,5
"6",3,3,3,3
"7",3,5,2,2
"8",1,2,4,5
"9",1,4,1,4
"10",5,3,1,2
"11",4,5,2,5
"12",4,2,3,4
"13",5,1,4,4
"14",1,3,4,1
"15",3,1,5,4
"16",3,3,3,3
"17",1,4,2,1
"18",4,5,4,1
"19",2,3,2,4
"20",5,2,5,2
"21",1,2,2,3
"22",1,1,3,2
"23",2,4,5,3
"24",4,1,1,3
"25",5,5,4,3
"26",3,2,1,1
"27",4,4,5,2
"28",3,4,4,5
"29",4,1,2,1
"30",2,5,3,5
"31",2,5,1,2
"32",5,2,2,5
"33",5,4,3,1
"34",2,1,4,2
"35",2,2,5,1
