"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,6,4,7,3,15,12,17,7
"2",11,7,15,5,12,14,16,5,16
"3",4,10,13,11,13,4,15,14,3
"4",8,2,9,16,9,12,14,13,12
"5",9,8,14,15,4,7,7,2,6
"6",10,12,3,6,11,10,4,12,5
"7",3,17,11,2,8,13,9,7,4
"8",7,14,5,3,16,6,13,3,11
"9",16,13,12,9,2,9,11,10,14
"10",17,1,10,8,17,11,1,1,2
"11",13,15,17,13,15,16,8,15,9
"12",5,11,7,12,6,17,2,4,13
"13",12,16,2,17,5,1,17,9,1
"14",6,3,16,4,1,2,3,11,10
"15",15,9,8,1,7,5,5,16,17
"16",14,4,6,10,10,3,10,6,8
"17",2,5,1,14,14,8,6,8,15
