"","V1","V2","V3","V4"
"1",3,1,3,2
"2",1,4,4,1
"3",3,3,4,3
"4",2,2,1,3
"5",1,2,3,4
"6",2,4,2,3
"7",3,2,1,1
"8",2,4,2,3
"9",4,1,2,4
"10",2,3,3,4
"11",4,2,4,3
"12",1,4,3,3
"13",2,1,4,2
"14",1,3,1,4
"15",3,2,4,3
"16",4,3,2,2
"17",1,3,4,2
"18",3,2,2,4
"19",2,1,1,2
"20",4,3,1,3
"21",1,2,2,2
"22",2,1,1,4
"23",1,4,1,2
"24",4,4,3,4
"25",4,2,2,4
"26",3,1,2,1
"27",4,1,1,3
"28",3,1,3,3
"29",1,1,4,4
"30",2,4,3,1
"31",3,3,1,2
"32",3,4,4,4
"33",4,4,1,1
"34",1,3,2,3
"35",3,4,1,4
"36",3,3,3,1
"37",1,2,1,1
"38",1,1,3,3
"39",2,2,3,2
"40",1,1,2,1
"41",4,4,4,2
"42",3,4,2,2
"43",2,3,2,1
"44",2,3,4,4
"45",4,2,3,2
"46",2,2,4,1
"47",4,3,3,1
"48",4,1,4,1
