"","V1","V2","V3"
"1",3,1,3
"2",4,2,4
"3",1,4,1
"4",2,1,3
"5",1,4,3
"6",2,1,4
"7",3,2,3
"8",4,4,4
"9",2,4,4
"10",2,4,2
"11",4,1,2
"12",3,1,1
"13",2,2,1
"14",1,2,4
"15",3,4,3
"16",4,3,1
"17",3,2,1
"18",1,1,4
"19",2,3,3
"20",4,1,3
"21",3,4,2
"22",1,1,2
"23",4,4,1
"24",3,4,1
"25",2,2,3
"26",4,4,3
"27",1,4,4
"28",3,1,2
"29",2,1,1
"30",3,3,2
"31",1,2,3
"32",2,3,1
"33",2,2,2
"34",1,3,1
"35",2,3,4
"36",1,2,2
"37",1,1,1
"38",4,3,3
"39",4,2,1
"40",3,3,4
"41",1,3,2
"42",3,2,4
"43",4,1,4
"44",2,4,2
"45",4,3,2
"46",4,2,2
"47",1,3,3
"48",3,3,4
