"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",4,7,19,4,11,4,13,10,9,14
"2",10,15,4,20,13,9,20,11,11,7
"3",6,6,18,15,1,22,22,22,13,4
"4",13,9,13,19,7,2,5,2,4,5
"5",20,14,17,16,16,13,12,19,3,10
"6",18,19,10,14,2,7,8,6,12,13
"7",15,21,20,10,12,16,4,14,8,1
"8",22,4,22,21,22,6,1,13,19,12
"9",7,10,14,11,18,8,6,16,14,20
"10",2,3,6,13,19,12,14,4,7,3
"11",1,17,12,22,4,19,16,15,6,19
"12",9,18,16,2,21,18,9,5,16,6
"13",11,13,21,12,6,14,18,3,18,17
"14",8,5,2,8,3,15,7,12,2,11
"15",14,2,7,18,10,17,10,18,15,16
"16",5,22,1,17,15,1,11,8,22,22
"17",21,12,5,5,14,21,2,1,10,18
"18",3,16,9,6,8,11,3,20,20,8
"19",16,8,11,9,17,20,17,9,21,9
"20",17,1,15,1,9,10,21,7,1,21
"21",12,20,8,7,20,3,19,21,5,15
"22",19,11,3,3,5,5,15,17,17,2
