"","V1","V2","V3","V4","V5","V6"
"1",17,1,14,15,21,7
"2",25,9,21,25,6,5
"3",12,16,18,11,2,8
"4",24,22,12,6,24,16
"5",15,23,23,13,9,20
"6",11,6,24,20,25,15
"7",13,17,7,24,20,19
"8",8,2,2,22,1,23
"9",7,20,15,19,13,3
"10",4,3,22,7,11,10
"11",2,19,8,8,5,25
"12",5,12,13,16,7,17
"13",1,25,17,23,17,13
"14",6,15,20,3,22,22
"15",19,21,4,17,4,11
"16",9,8,10,10,18,12
"17",16,13,1,5,12,14
"18",18,11,19,18,16,24
"19",14,5,11,4,8,1
"20",20,7,16,2,3,18
"21",23,4,6,12,14,21
"22",22,14,9,21,10,9
"23",3,10,3,14,23,4
"24",10,24,5,1,15,6
"25",21,18,25,9,19,2
