"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",29,1,15,15,14,29,15,1,29,29,1,29,16,14,29,29,15,14,12,1,14,14,13,1,1,13,15,1
"2",15,14,29,1,29,28,1,29,16,16,16,2,29,13,15,2,16,1,14,29,17,11,2,28,15,17,16,29
"3",9,9,24,8,9,9,27,9,24,5,7,7,25,22,11,23,22,10,7,11,20,8,7,17,4,9,7,20
"4",2,28,16,14,15,14,5,2,2,2,4,15,28,16,14,1,1,16,29,16,1,29,1,15,16,29,14,14
"5",22,23,18,27,6,17,3,25,25,3,22,5,7,12,25,21,21,19,17,19,23,9,23,8,9,27,12,9
"6",24,12,19,17,16,2,22,5,9,18,27,11,6,21,4,13,23,2,13,26,27,27,9,3,17,23,4,11
"7",6,3,20,4,24,13,10,21,11,12,25,25,14,23,3,25,4,22,11,7,24,22,18,20,10,25,13,28
"8",3,15,3,9,21,4,19,22,28,24,12,28,5,10,27,11,20,27,23,14,18,17,5,19,22,28,8,19
"9",25,19,11,5,3,20,24,11,10,21,11,16,27,9,26,24,7,3,27,8,25,20,21,27,13,6,11,12
"10",21,4,5,11,18,12,9,28,13,7,17,20,20,18,18,19,27,6,21,5,28,13,3,10,27,3,27,7
"11",10,21,7,7,17,22,26,26,26,25,28,19,10,25,6,3,3,7,16,20,11,4,12,12,8,5,19,13
"12",17,20,27,6,11,25,2,23,7,22,5,22,11,20,12,14,18,24,6,10,5,21,28,7,25,11,6,8
"13",28,18,2,16,28,11,12,16,18,8,2,18,2,15,2,20,14,18,1,28,13,2,29,23,12,2,2,16
"14",12,25,22,23,23,19,18,12,20,13,18,6,21,11,5,10,9,26,24,4,12,24,4,6,6,4,5,3
"15",5,27,21,18,20,10,7,8,12,17,20,26,4,6,24,8,19,4,8,12,4,7,17,25,5,10,26,10
"16",4,5,26,26,12,6,23,27,19,20,10,12,12,17,17,18,6,12,26,27,9,19,26,22,3,22,24,6
"17",11,8,12,13,27,21,6,13,6,23,8,4,8,7,7,22,24,11,25,3,10,5,19,5,19,24,23,21
"18",7,22,9,10,19,27,20,7,17,6,21,10,18,4,20,26,13,8,9,23,7,18,25,11,26,26,3,27
"19",1,29,1,29,1,15,29,15,1,15,29,1,15,29,16,15,29,15,15,2,15,15,16,29,28,15,1,15
"20",8,6,8,19,4,24,16,19,8,9,3,8,9,5,21,4,26,23,10,22,21,23,8,21,14,7,20,5
"21",20,11,10,3,25,16,17,20,22,14,13,13,26,27,28,9,28,17,5,18,3,28,22,2,2,18,28,18
"22",23,26,25,12,8,7,11,18,21,27,26,17,22,8,10,27,25,20,20,21,8,25,10,26,21,12,22,24
"23",18,24,23,20,26,3,25,17,5,4,6,24,17,24,23,7,10,13,22,24,22,12,20,4,20,8,18,25
"24",16,2,17,2,2,1,28,14,15,1,15,14,1,1,1,16,12,29,19,15,2,1,14,14,29,16,17,2
"25",19,17,4,28,5,5,4,6,27,11,9,21,13,2,13,12,8,5,4,6,16,26,11,9,11,20,21,26
"26",26,7,6,22,10,23,8,10,4,19,19,23,23,26,22,17,11,25,18,25,6,6,6,18,7,21,9,23
"27",27,10,13,25,22,8,13,24,3,26,24,9,24,3,9,6,5,9,3,13,19,10,24,16,23,14,10,4
"28",13,13,14,21,7,26,21,3,23,10,23,27,19,19,8,5,17,21,28,9,26,3,27,24,24,19,25,17
"29",14,16,28,24,13,18,14,4,14,28,14,3,3,28,19,28,2,28,2,17,29,16,15,13,18,1,29,22
