"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",19,6,8,19,13,7,21,21,5,20,7,10,14,15,19
"2",12,16,23,24,1,2,23,15,24,24,12,17,5,13,1
"3",2,23,17,4,6,11,22,5,19,11,2,9,12,20,17
"4",1,1,6,12,9,19,24,12,2,14,13,23,1,5,13
"5",7,15,5,3,4,5,4,14,6,4,11,3,20,14,14
"6",20,13,15,21,5,20,17,10,15,22,21,4,21,2,16
"7",14,8,22,9,10,22,3,16,18,15,9,14,23,21,22
"8",13,7,24,1,24,9,12,1,1,13,19,1,13,4,24
"9",21,5,10,6,7,18,9,20,22,10,16,6,9,11,4
"10",18,22,20,14,11,4,6,8,10,16,8,5,7,6,7
"11",15,20,4,17,2,16,11,18,12,6,3,19,11,3,23
"12",17,9,3,11,8,6,18,3,14,2,20,15,6,22,10
"13",16,12,18,5,18,21,19,9,4,5,6,18,16,10,6
"14",6,10,2,18,20,24,13,11,21,17,4,2,10,17,9
"15",9,17,21,15,17,17,16,19,7,8,18,7,3,19,15
"16",5,2,13,10,15,1,15,24,11,1,1,8,24,1,2
"17",8,4,16,16,3,13,10,4,8,19,15,20,18,18,5
"18",24,24,1,23,16,15,1,13,3,12,24,12,17,24,3
"19",4,18,9,7,14,23,7,2,9,23,23,16,8,12,20
"20",10,21,7,8,22,10,20,17,17,18,17,13,19,7,8
"21",22,14,14,2,23,12,8,23,13,21,5,24,2,23,12
"22",11,3,12,22,21,14,2,6,16,3,10,11,4,9,18
"23",3,11,19,20,12,8,5,22,20,7,22,21,15,8,11
"24",23,19,11,13,19,3,14,7,23,9,14,22,22,16,21
