"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",3,13,5,5,12,3,15,8,6,12,11,4,4,14,14,15
"2",1,1,2,1,9,17,10,1,2,9,18,9,11,1,9,9
"3",8,5,13,13,14,6,3,5,7,4,15,5,5,4,3,12
"4",4,9,8,17,6,16,17,11,11,10,2,17,2,6,2,11
"5",10,17,12,18,5,18,1,7,8,17,9,3,17,18,10,8
"6",2,4,17,7,3,8,2,16,10,7,4,12,8,16,11,16
"7",5,7,7,6,15,15,5,15,14,14,13,8,16,13,4,4
"8",9,2,10,10,17,1,12,18,18,18,1,1,9,9,18,10
"9",15,16,6,12,13,14,4,12,3,5,3,10,14,8,15,14
"10",6,18,18,9,18,10,18,9,1,1,12,18,10,10,7,1
"11",16,12,11,15,2,2,7,17,4,11,17,11,3,11,8,2
"12",13,10,16,4,10,5,11,14,5,16,7,16,15,2,5,13
"13",7,15,4,11,8,7,6,4,15,15,5,14,6,3,12,3
"14",12,6,14,16,11,12,16,3,16,13,16,13,13,12,13,17
"15",17,8,9,2,16,11,8,2,9,2,8,15,1,17,17,7
"16",14,3,3,14,7,4,14,10,12,3,6,7,12,15,6,5
"17",11,14,15,3,4,13,13,13,13,6,14,6,7,5,16,6
"18",18,11,1,8,1,9,9,6,17,8,10,2,18,7,1,18
