"","V1","V2","V3","V4","V5","V6"
"1",13,1,4,16,14,8
"2",10,5,17,21,1,11
"3",19,16,16,7,12,7
"4",14,18,7,9,2,19
"5",9,14,3,5,21,22
"6",21,22,19,15,22,14
"7",16,7,11,10,23,5
"8",15,9,21,4,7,10
"9",6,2,23,8,19,18
"10",22,12,1,18,3,2
"11",20,3,13,12,5,21
"12",2,4,6,6,8,3
"13",1,17,12,19,20,9
"14",4,8,15,17,13,20
"15",8,11,20,13,16,4
"16",12,21,14,3,17,1
"17",18,10,5,22,18,17
"18",23,6,8,2,15,13
"19",17,19,22,20,10,23
"20",7,23,9,23,6,6
"21",11,13,10,14,9,15
"22",5,20,2,11,11,12
"23",3,15,18,1,4,16
