"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",7,1,7,18,27,1,9,3,2,15,16,2,15,2,15,14,4,27
"2",5,12,21,24,18,20,4,26,18,21,3,25,17,5,22,19,9,16
"3",26,18,6,26,22,7,6,16,12,23,13,9,26,23,27,4,14,20
"4",19,5,5,14,10,26,8,21,26,4,25,10,20,7,25,16,16,8
"5",6,20,25,10,23,10,24,12,13,6,23,8,25,4,6,20,11,12
"6",10,7,3,8,25,21,12,15,21,22,21,21,9,21,5,22,17,23
"7",22,23,20,6,16,18,7,7,19,5,8,3,18,25,13,17,23,25
"8",20,15,28,25,1,17,14,14,28,28,14,1,16,11,4,27,1,2
"9",17,27,2,12,13,2,22,20,10,26,2,26,19,26,8,15,3,11
"10",1,16,15,15,17,15,26,17,27,2,19,19,2,28,26,9,2,28
"11",23,9,9,17,7,13,25,24,16,17,10,17,27,3,9,25,25,26
"12",3,25,12,3,3,8,11,23,25,13,4,11,11,10,7,8,12,21
"13",18,22,24,19,24,3,5,27,23,18,22,15,3,17,11,12,26,6
"14",9,6,18,7,15,5,23,18,17,25,12,4,8,8,19,3,21,4
"15",11,10,10,21,20,24,20,8,22,11,7,12,22,20,10,6,6,5
"16",27,4,13,23,21,11,13,10,8,3,5,23,5,9,3,13,20,10
"17",24,3,22,5,4,9,16,6,20,19,20,22,24,16,23,11,5,14
"18",12,14,27,4,26,27,15,22,4,1,11,28,28,13,16,7,28,18
"19",15,8,26,13,9,4,2,13,7,7,6,13,7,19,21,26,7,22
"20",21,24,19,20,11,25,18,11,6,24,24,18,10,6,14,5,10,24
"21",2,11,14,11,12,14,3,2,1,27,28,14,21,18,2,1,24,15
"22",4,21,4,16,2,22,19,9,9,20,9,7,4,15,24,18,27,13
"23",16,17,1,1,6,19,1,5,14,9,15,24,1,1,12,2,13,7
"24",28,28,16,9,28,28,28,1,15,14,1,16,14,14,28,28,15,1
"25",14,2,23,28,8,23,27,28,11,12,18,6,12,27,1,10,18,17
"26",13,19,8,27,14,6,21,4,24,8,26,27,13,12,20,24,22,19
"27",25,13,11,2,19,16,17,25,3,16,27,5,6,24,17,23,8,9
"28",8,26,17,22,5,12,10,19,5,10,17,20,23,22,18,21,19,3
