"","V1","V2","V3","V4","V5"
"1",18,25,18,15,22
"2",5,17,16,19,2
"3",3,14,21,22,20
"4",4,1,8,12,13
"5",6,4,23,7,24
"6",12,10,17,1,18
"7",7,24,11,3,15
"8",24,19,12,25,25
"9",2,8,13,5,7
"10",15,18,6,6,21
"11",17,13,10,8,4
"12",10,6,9,18,23
"13",14,3,15,23,11
"14",20,12,14,13,16
"15",11,15,3,14,10
"16",1,21,1,17,17
"17",21,23,7,21,8
"18",25,5,20,16,6
"19",9,20,19,9,9
"20",8,11,5,24,5
"21",16,9,25,20,14
"22",22,16,22,4,12
"23",13,22,24,11,3
"24",23,7,4,10,19
"25",19,2,2,2,1
