"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",23,20,21,14,13,15,7,14,4,9,12,7,24,5
"2",20,14,2,24,5,28,14,19,18,1,6,3,27,14
"3",6,22,15,4,12,19,11,22,25,27,5,18,21,20
"4",25,3,6,19,16,18,26,23,24,11,24,8,16,19
"5",8,4,10,27,9,25,22,13,5,20,16,14,23,26
"6",21,23,9,5,19,24,20,16,9,3,26,20,9,3
"7",15,7,20,3,2,5,12,21,15,6,20,10,13,28
"8",19,8,18,1,15,11,28,1,3,28,21,28,28,13
"9",5,18,27,23,11,9,23,28,28,4,18,12,5,8
"10",18,11,17,17,23,26,8,24,22,23,15,15,6,7
"11",27,26,1,2,26,4,15,7,23,17,17,13,22,9
"12",24,21,22,26,27,14,25,17,17,21,8,23,2,27
"13",1,10,5,8,28,21,9,2,2,5,10,9,1,23
"14",26,12,16,20,10,3,17,6,7,10,4,19,7,18
"15",16,19,7,12,3,17,24,3,13,24,3,11,15,6
"16",2,2,4,21,14,6,10,15,14,26,11,26,10,4
"17",14,24,25,22,17,22,13,4,11,19,19,4,11,21
"18",7,15,12,25,24,16,6,5,16,7,23,21,18,12
"19",11,9,23,18,1,20,16,8,26,14,28,24,26,2
"20",10,25,3,16,4,12,3,20,6,16,22,17,3,16
"21",28,5,26,7,7,23,4,27,10,18,9,22,17,11
"22",13,17,8,10,21,8,18,26,12,12,13,25,25,22
"23",12,28,14,28,22,1,1,25,1,13,1,1,14,1
"24",9,6,13,6,18,13,19,12,19,15,7,5,4,10
"25",17,1,28,15,20,10,2,9,20,2,2,16,20,24
"26",22,16,11,9,8,7,5,10,27,22,25,2,8,25
"27",4,13,24,13,25,2,21,18,8,25,27,6,19,15
"28",3,27,19,11,6,27,27,11,21,8,14,27,12,17
