"","V1","V2","V3","V4","V5","V6"
"1",13,2,11,20,22,8
"2",3,22,3,21,5,24
"3",2,1,16,5,9,17
"4",7,14,14,19,15,20
"5",16,4,4,6,17,3
"6",6,9,24,24,11,2
"7",4,16,21,7,21,12
"8",22,15,1,10,7,7
"9",11,12,2,1,24,16
"10",10,7,18,11,19,23
"11",24,6,20,2,14,9
"12",19,8,5,18,10,13
"13",8,20,13,3,2,6
"14",23,19,7,23,20,18
"15",17,13,17,22,4,11
"16",15,21,23,14,16,15
"17",1,11,9,15,18,5
"18",20,23,15,12,23,1
"19",12,18,19,17,8,4
"20",9,24,6,9,13,10
"21",18,17,10,4,12,22
"22",5,5,8,13,3,14
"23",14,10,12,8,6,19
"24",21,3,22,16,1,21
