"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",2,2,16,11,21,3,11,23,12
"2",21,5,3,19,14,24,8,29,29
"3",22,16,19,8,15,10,24,13,11
"4",3,14,1,24,4,21,23,9,13
"5",26,20,25,18,18,16,10,6,17
"6",1,26,10,1,13,13,19,1,20
"7",18,9,18,22,1,6,1,2,15
"8",11,21,17,12,28,25,22,8,27
"9",19,27,13,14,7,23,15,17,14
"10",10,11,23,20,12,14,17,19,5
"11",8,24,21,4,5,1,7,7,7
"12",9,3,11,25,27,15,6,14,18
"13",7,8,7,5,17,27,27,21,16
"14",16,10,14,2,19,20,9,11,1
"15",4,15,22,16,23,22,2,18,23
"16",15,1,24,6,9,18,28,4,25
"17",6,28,29,26,16,8,13,12,28
"18",17,23,5,21,20,2,25,16,22
"19",23,17,9,27,22,28,14,3,6
"20",27,4,28,10,2,29,20,15,3
"21",20,13,27,3,26,5,16,27,19
"22",5,19,12,17,8,7,29,28,2
"23",24,25,2,7,29,12,3,20,4
"24",12,18,6,9,3,17,12,25,21
"25",29,29,20,23,25,19,26,26,8
"26",28,12,8,13,10,4,5,10,26
"27",14,22,26,29,11,26,4,24,10
"28",25,7,15,28,6,11,21,22,24
"29",13,6,4,15,24,9,18,5,9
