"","V1","V2","V3"
"1",16,21,17
"2",6,22,25
"3",15,7,6
"4",19,23,2
"5",3,24,14
"6",17,4,24
"7",20,9,18
"8",5,13,16
"9",23,19,11
"10",1,17,7
"11",22,12,26
"12",7,11,10
"13",9,20,5
"14",25,14,4
"15",10,6,12
"16",13,26,9
"17",18,16,13
"18",14,15,20
"19",26,5,15
"20",24,25,21
"21",8,1,19
"22",11,18,23
"23",4,3,3
"24",12,10,1
"25",2,8,22
"26",21,2,8
