"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",7,9,6,23,23,12,9,10,23,19,6,6,17,12,8
"2",17,1,8,11,21,6,13,2,8,16,17,19,22,6,24
"3",3,5,20,14,15,18,4,20,17,24,24,17,20,3,11
"4",23,10,16,3,11,15,20,11,10,20,22,7,18,22,20
"5",5,17,9,21,12,23,10,7,12,8,20,18,8,16,19
"6",25,8,15,26,14,25,18,6,22,1,13,26,26,7,1
"7",1,16,1,1,26,26,26,1,14,14,1,13,21,26,14
"8",6,24,23,6,5,8,16,3,16,4,19,4,16,9,9
"9",12,20,18,15,25,13,21,9,26,9,25,11,3,1,26
"10",26,13,26,24,1,9,1,13,2,15,21,21,1,11,15
"11",16,4,19,19,7,4,3,5,21,11,10,12,14,24,17
"12",18,25,12,7,20,24,2,16,18,21,12,5,5,8,18
"13",8,2,25,17,19,21,25,14,6,13,16,2,11,19,2
"14",21,18,11,12,2,20,8,24,25,12,18,9,23,20,6
"15",14,26,7,25,13,1,14,26,1,26,26,1,13,25,13
"16",22,19,22,13,18,7,12,8,15,23,3,22,7,21,5
"17",19,11,4,8,17,3,24,18,20,7,23,16,10,13,7
"18",2,15,13,20,8,5,19,22,9,18,11,10,6,5,4
"19",9,22,3,18,6,10,23,17,19,22,14,24,24,18,22
"20",11,12,24,5,9,22,15,25,24,17,4,20,12,10,23
"21",24,3,2,16,3,14,11,19,13,3,2,3,9,4,21
"22",10,7,14,4,24,11,7,23,11,5,15,25,4,23,12
"23",15,21,5,2,10,16,5,12,5,10,9,23,15,2,3
"24",4,14,17,9,16,2,6,15,3,2,5,8,25,17,25
"25",20,23,21,22,22,17,17,21,7,6,8,15,19,14,16
"26",13,6,10,10,4,19,22,4,4,25,7,14,2,15,10
