"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",14,12,30,16,1,11,16,15,12,13,17,30,30,1,2,1,29,14,2,2,1,15
"2",8,22,6,7,23,14,24,8,22,12,23,14,24,4,13,22,7,22,8,27,5,22
"3",11,8,5,22,4,12,8,23,23,18,26,21,23,10,26,24,18,8,26,13,26,27
"4",29,13,13,18,29,15,18,3,2,14,8,24,4,21,30,23,15,2,29,24,4,16
"5",18,5,23,27,22,3,5,7,13,2,3,17,14,8,11,13,9,10,25,6,6,24
"6",3,26,11,28,20,24,13,14,14,23,2,29,28,27,23,16,27,11,14,28,17,25
"7",27,16,8,26,16,13,3,19,1,29,18,3,18,2,9,4,17,29,22,29,18,19
"8",1,30,16,1,10,16,30,16,15,1,14,1,1,11,1,30,14,16,30,15,15,30
"9",15,2,19,12,3,6,23,6,4,19,28,5,11,26,21,3,10,15,13,25,19,28
"10",28,28,27,13,6,18,6,27,16,20,9,23,12,6,12,19,8,13,5,26,22,4
"11",16,1,29,29,17,19,14,21,28,15,11,2,22,23,17,29,1,21,20,20,3,2
"12",9,14,1,20,15,27,22,29,3,3,7,22,16,17,3,9,2,19,11,18,28,26
"13",5,7,14,4,26,10,21,26,9,22,12,26,20,7,24,8,11,25,19,8,13,5
"14",12,17,4,11,14,2,2,20,19,26,1,13,2,29,29,11,13,20,3,16,2,8
"15",20,21,17,23,8,17,27,2,21,28,25,28,19,30,5,12,3,6,18,12,9,9
"16",13,20,26,3,18,28,12,10,6,25,16,10,9,3,28,27,4,5,17,10,27,17
"17",17,29,18,17,30,30,15,30,30,30,22,12,15,15,22,17,16,30,1,1,8,29
"18",7,23,22,21,9,25,7,12,7,11,24,20,6,12,20,5,22,23,23,21,7,7
"19",19,18,20,9,27,5,11,25,18,8,20,27,10,28,6,26,25,24,21,19,23,23
"20",21,4,10,8,5,26,9,4,11,21,4,9,21,13,4,25,24,27,10,17,10,14
"21",2,15,15,2,2,1,1,1,29,10,15,16,17,16,15,15,30,1,16,30,30,1
"22",24,27,7,19,7,4,19,13,10,7,13,11,27,25,19,18,5,26,27,7,25,12
"23",4,11,21,15,24,22,4,22,5,6,27,7,26,24,8,20,12,3,6,11,16,10
"24",10,25,3,10,28,20,17,9,24,17,5,6,13,19,7,2,20,9,24,5,21,6
"25",26,3,9,5,12,23,10,18,25,9,19,25,3,20,18,6,6,7,9,3,14,21
"26",22,24,24,14,13,8,25,24,26,5,6,8,25,9,27,7,23,4,15,22,12,18
"27",6,10,25,25,11,9,26,11,27,24,10,19,5,22,10,21,21,28,7,9,20,20
"28",23,9,12,24,21,21,20,5,20,4,21,4,7,5,25,14,26,18,4,14,24,3
"29",30,19,2,30,19,7,29,28,8,16,29,15,8,14,16,28,28,12,12,4,11,11
"30",25,6,28,6,25,29,28,17,17,27,30,18,29,18,14,10,19,17,28,23,29,13
