"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",25,2,11,16,4,9,5,5,15,2,18,12,23,11,21,19
"2",17,25,9,9,25,19,2,18,2,25,15,7,18,26,18,13
"3",19,23,22,12,18,5,23,4,24,15,13,11,3,7,25,10
"4",6,24,10,25,5,17,26,25,21,9,14,14,12,3,2,21
"5",15,18,21,26,26,2,17,14,17,3,7,15,25,24,14,26
"6",13,5,3,19,1,21,15,15,10,23,8,13,2,1,24,3
"7",2,19,24,2,2,8,13,26,14,26,22,4,1,14,12,14
"8",3,8,23,11,3,15,24,10,3,8,5,19,19,18,19,11
"9",4,1,13,1,14,3,1,1,9,13,12,16,8,25,8,2
"10",21,6,25,14,20,13,10,23,8,12,11,2,20,2,9,24
"11",26,26,26,15,13,26,14,13,1,1,26,26,11,13,1,1
"12",1,10,2,22,24,22,11,2,25,14,16,23,26,12,10,12
"13",12,4,15,4,16,20,18,8,22,4,23,6,17,4,13,8
"14",24,14,4,3,23,14,25,9,11,19,25,17,9,9,16,25
"15",10,9,7,17,21,6,21,17,5,6,20,9,5,16,5,16
"16",23,13,12,6,7,25,22,21,16,17,10,10,24,17,6,6
"17",16,7,20,10,9,18,9,12,20,20,19,20,4,23,4,20
"18",7,17,16,7,19,23,6,20,13,5,9,22,6,8,20,17
"19",22,3,14,21,17,10,20,24,23,24,3,25,10,20,17,15
"20",9,20,5,13,15,11,12,22,19,11,24,18,21,22,23,4
"21",11,22,8,8,11,7,16,6,6,21,4,24,22,5,7,18
"22",18,12,17,24,6,4,7,19,4,16,21,21,15,6,15,7
"23",14,11,1,5,8,1,3,16,26,10,1,1,13,15,26,22
"24",8,16,18,20,12,24,19,3,7,18,17,3,14,21,22,23
"25",20,21,6,23,10,16,8,7,12,7,6,5,7,19,11,9
"26",5,15,19,18,22,12,4,11,18,22,2,8,16,10,3,5
