"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",6,24,11,14,14,7,19,22,8,2,18,15,19,22,22,24,8
"2",7,7,5,4,21,9,10,19,22,12,17,7,17,6,7,7,7
"3",15,3,8,11,10,19,23,4,5,3,24,4,11,9,12,12,4
"4",25,1,13,25,3,13,13,24,25,25,13,13,9,1,18,17,2
"5",21,16,10,20,20,16,20,23,7,14,6,8,10,18,8,5,23
"6",9,19,18,5,9,10,21,9,18,21,9,19,8,23,11,6,5
"7",10,14,19,24,22,17,9,3,1,10,14,22,23,15,10,22,3
"8",19,21,23,6,24,22,24,17,23,5,11,12,15,10,14,23,19
"9",1,25,15,1,1,25,1,25,14,13,25,25,13,16,9,11,14
"10",11,11,20,9,16,18,2,21,9,24,12,3,2,11,24,1,11
"11",23,13,6,3,12,21,7,12,2,22,19,14,22,24,17,8,20
"12",12,22,12,7,4,5,8,6,6,16,15,10,5,7,4,21,22
"13",24,17,25,13,25,2,15,13,13,11,20,1,1,25,1,13,1
"14",20,23,2,12,19,15,3,7,12,17,4,20,16,4,20,14,6
"15",17,8,7,15,6,20,6,18,17,7,7,17,3,21,6,20,9
"16",8,5,21,2,5,14,14,11,11,8,5,5,18,19,21,16,24
"17",16,10,22,18,8,11,22,20,10,19,21,21,21,5,5,15,18
"18",14,20,3,23,11,12,11,15,21,6,23,24,6,12,23,3,25
"19",3,4,4,10,23,3,17,16,4,20,8,23,7,14,16,18,16
"20",18,6,17,21,17,6,4,8,19,18,22,6,12,20,15,25,15
"21",5,18,9,22,13,23,16,10,20,23,3,2,20,8,2,19,13
"22",4,9,16,17,18,24,18,5,16,9,16,16,4,3,19,9,21
"23",22,2,14,8,15,8,12,1,15,1,1,18,25,13,3,2,17
"24",13,12,1,16,2,1,25,2,24,15,10,9,24,17,25,10,12
"25",2,15,24,19,7,4,5,14,3,4,2,11,14,2,13,4,10
