"","V1","V2"
"1",14,7
"2",8,1
"3",7,13
"4",3,3
"5",18,17
"6",6,6
"7",2,15
"8",13,19
"9",9,9
"10",15,14
"11",19,5
"12",17,10
"13",12,12
"14",11,4
"15",4,11
"16",10,16
"17",1,8
"18",5,18
"19",16,2
