"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",24,2,9,13,3,19,23,25,16,11,5,13,17,25,12,2,23,12,24,21
"2",10,16,12,10,19,8,7,21,8,6,6,24,7,23,18,21,20,4,21,5
"3",4,6,3,3,10,12,5,24,14,25,15,6,24,3,20,10,10,8,20,12
"4",22,21,4,22,7,5,16,23,5,17,9,11,16,18,23,23,4,20,12,8
"5",15,18,6,16,17,20,22,4,3,4,16,25,23,11,22,9,11,21,23,26
"6",3,9,10,12,6,18,13,3,20,5,25,8,9,21,16,12,3,26,8,4
"7",26,22,22,8,16,26,8,20,19,12,4,23,19,5,13,11,7,24,5,13
"8",25,15,27,15,14,1,15,2,25,26,21,16,27,26,14,25,12,1,18,16
"9",14,13,14,24,1,27,10,14,27,14,1,3,26,12,24,8,26,2,14,1
"10",5,4,8,21,18,22,18,16,24,24,11,20,3,7,17,22,24,19,9,17
"11",23,10,18,18,21,9,19,18,9,10,23,7,4,8,21,4,8,5,6,20
"12",27,14,13,1,27,14,14,15,1,1,14,9,13,2,1,27,27,27,27,14
"13",9,8,24,5,8,21,17,12,4,18,10,22,11,19,4,7,5,3,17,19
"14",11,12,2,6,20,2,25,9,15,19,2,2,12,27,27,14,16,22,3,18
"15",19,25,7,11,24,17,4,6,21,16,8,4,8,10,8,24,9,7,16,23
"16",6,26,19,2,11,15,26,22,26,8,27,19,15,15,26,26,14,10,11,27
"17",8,17,17,19,22,24,24,19,18,22,20,5,20,20,5,19,6,13,26,6
"18",2,24,21,23,25,13,6,10,11,20,18,15,18,22,19,5,22,25,15,22
"19",12,23,11,9,4,11,21,7,6,21,24,17,21,6,10,17,25,6,4,10
"20",20,7,5,4,23,6,11,11,23,9,19,21,22,17,6,3,19,15,10,7
"21",16,1,26,27,26,10,27,1,13,13,12,27,14,1,15,16,1,11,13,3
"22",1,3,15,17,13,3,3,13,7,2,3,14,25,14,7,20,2,14,2,24
"23",13,27,25,14,15,16,12,27,2,27,13,1,1,16,11,1,17,16,1,2
"24",18,11,16,20,5,7,9,26,17,23,26,26,10,9,3,15,18,23,19,25
"25",21,5,23,7,12,25,2,5,10,15,22,12,5,13,25,18,21,18,25,9
"26",17,20,1,26,2,23,1,17,12,3,17,18,2,24,2,13,13,9,7,15
"27",7,19,20,25,9,4,20,8,22,7,7,10,6,4,9,6,15,17,22,11
