"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,6,13,12,20,10,22,4
"2",18,1,6,19,21,18,6,22
"3",12,21,22,18,18,5,19,15
"4",7,18,16,6,22,2,8,9
"5",21,5,11,3,15,4,11,17
"6",14,14,12,16,16,20,2,11
"7",4,20,9,9,13,17,17,20
"8",15,15,14,2,6,9,21,21
"9",5,2,15,17,4,12,12,12
"10",3,12,21,1,17,19,10,1
"11",16,10,4,7,19,13,15,13
"12",9,16,7,20,14,8,13,7
"13",11,22,10,4,3,15,4,5
"14",2,13,5,10,7,6,5,14
"15",8,4,3,5,9,21,20,10
"16",10,8,18,13,11,14,7,18
"17",19,17,19,11,2,22,14,16
"18",17,3,20,8,12,7,3,6
"19",6,9,1,22,1,3,1,19
"20",20,19,2,15,10,11,9,3
"21",13,7,8,14,5,1,16,2
"22",22,11,17,21,8,16,18,8
