"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",13,2,26,16,9,3,8,26,13,21,9,26,13,26,13,14,2,2,1
"2",20,5,7,9,8,24,11,23,7,5,10,18,18,6,9,18,22,18,17
"3",1,16,10,24,11,8,13,20,25,1,12,1,7,25,17,3,25,13,18
"4",23,18,15,4,5,9,21,21,21,22,20,7,14,7,15,20,4,20,10
"5",19,19,22,6,10,5,23,9,17,9,7,9,21,20,8,10,20,8,22
"6",10,10,12,21,4,14,18,6,6,8,3,6,17,5,24,8,3,3,15
"7",18,12,6,23,12,18,19,11,23,11,6,20,8,19,5,22,6,23,2
"8",22,17,9,10,18,15,7,8,10,20,17,22,20,24,21,6,7,25,19
"9",12,15,2,1,25,25,22,1,22,16,14,23,12,1,12,2,17,5,14
"10",8,23,4,8,23,7,5,4,3,4,8,8,11,17,14,15,9,19,7
"11",17,14,3,17,1,1,3,16,11,15,26,3,2,10,7,9,19,26,13
"12",24,7,17,25,14,6,6,2,5,17,16,10,9,2,2,25,12,12,23
"13",25,1,1,26,24,13,24,25,14,7,25,13,26,21,22,13,13,14,11
"14",11,6,14,2,15,23,2,15,16,3,19,2,22,15,3,5,5,11,3
"15",9,3,24,18,19,19,15,3,20,14,22,4,16,16,16,19,23,24,21
"16",3,8,16,12,6,17,25,7,4,24,23,16,10,22,10,7,21,15,5
"17",16,11,18,5,22,21,12,18,8,19,5,5,5,23,23,21,18,9,9
"18",14,25,19,13,13,26,26,24,1,13,13,12,1,13,26,1,1,22,26
"19",26,26,13,14,26,16,1,13,26,26,1,14,15,14,1,17,26,1,16
"20",7,4,8,3,16,2,16,12,18,25,2,17,3,8,20,11,11,16,25
"21",2,9,25,7,2,11,4,10,24,12,11,25,25,12,25,26,15,17,12
"22",21,24,20,19,7,20,9,5,19,2,18,19,4,9,19,12,14,7,8
"23",15,21,11,15,17,4,17,14,2,10,24,24,23,3,18,23,24,10,4
"24",4,13,23,11,21,10,20,19,9,6,21,21,6,11,4,16,8,4,20
"25",5,22,5,20,3,22,14,17,12,23,15,11,24,18,11,24,10,6,24
"26",6,20,21,22,20,12,10,22,15,18,4,15,19,4,6,4,16,21,6
