"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",5,16,4,6,16,7,11,3,11,13,13
"2",9,13,8,3,8,14,3,6,5,4,16
"3",4,2,10,9,1,5,1,7,2,15,2
"4",8,12,7,12,11,1,16,19,6,18,7
"5",2,17,13,18,3,8,9,16,7,3,9
"6",1,11,9,1,15,12,17,13,18,9,1
"7",12,5,5,8,5,9,14,12,12,5,5
"8",14,10,12,11,18,6,2,18,13,7,18
"9",19,8,19,4,7,4,13,15,3,11,14
"10",15,9,11,2,2,18,10,1,14,19,8
"11",18,14,1,17,9,3,6,4,15,8,3
"12",11,15,16,14,4,10,18,8,16,16,15
"13",10,7,14,16,17,13,12,5,4,10,6
"14",6,6,3,15,6,16,4,17,19,12,12
"15",16,19,2,10,19,19,19,10,1,2,11
"16",17,3,6,19,14,11,8,11,8,17,17
"17",13,18,17,7,12,15,5,14,9,14,4
"18",3,1,18,13,10,17,15,2,10,6,19
"19",7,4,15,5,13,2,7,9,17,1,10
