"","V1","V2","V3","V4","V5"
"1",18,24,23,21,19
"2",16,16,14,18,5
"3",25,12,4,19,26
"4",15,23,27,9,9
"5",7,14,26,25,15
"6",14,7,10,26,21
"7",4,9,17,20,10
"8",5,22,8,16,17
"9",27,5,24,15,4
"10",24,21,19,27,7
"11",1,17,13,23,24
"12",26,26,11,5,14
"13",23,15,18,8,20
"14",19,10,9,11,1
"15",20,18,2,14,12
"16",22,2,7,22,11
"17",11,27,3,24,3
"18",9,13,5,3,8
"19",12,11,20,13,13
"20",10,1,21,17,23
"21",17,4,15,1,16
"22",21,8,25,4,25
"23",2,6,1,10,18
"24",13,20,6,6,22
"25",8,25,16,12,27
"26",6,3,12,7,6
"27",3,19,22,2,2
