"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",12,14,1,21,20,21,1,9,1,10,18,12,14,3,13,12,10,2,2,13
"2",2,9,21,2,2,20,3,12,17,1,10,10,1,20,6,11,5,12,10,10
"3",15,13,17,18,16,18,6,18,19,17,8,15,6,9,17,6,18,10,18,7
"4",21,21,2,11,1,11,10,1,11,21,1,13,11,21,21,9,11,20,21,11
"5",17,8,18,5,14,13,15,5,2,15,7,17,13,18,5,19,8,3,13,5
"6",10,10,11,20,21,5,12,2,7,19,21,3,2,10,1,10,1,11,12,1
"7",20,2,10,1,8,12,2,10,13,13,20,2,20,12,12,20,21,9,20,9
"8",3,20,16,3,19,14,19,16,9,16,15,6,16,7,8,8,14,19,14,15
"9",11,11,20,10,11,1,11,21,21,11,11,1,21,1,20,21,9,21,11,21
"10",14,12,13,9,5,16,16,4,18,5,19,16,17,14,2,7,17,14,3,19
"11",4,6,14,14,6,8,5,6,5,8,14,18,15,5,18,3,4,16,16,8
"12",9,19,9,17,9,2,4,13,6,18,9,19,12,19,7,18,19,15,5,17
"13",16,16,19,16,4,6,17,15,10,6,17,8,8,16,15,16,3,5,17,16
"14",6,7,6,15,18,4,14,14,16,3,2,14,18,6,4,17,13,8,19,12
"15",19,3,5,19,10,17,18,20,12,2,13,21,10,8,10,13,7,18,8,2
"16",1,1,12,12,13,9,21,11,20,20,5,11,9,11,11,1,2,1,1,20
"17",13,15,8,6,17,10,7,17,8,4,4,5,19,17,14,2,6,13,4,4
"18",7,17,4,4,12,3,20,8,15,12,16,20,3,15,19,5,12,7,9,6
"19",18,5,7,7,3,7,9,19,3,14,12,9,5,4,3,4,15,6,6,14
"20",8,4,3,8,15,19,13,7,4,7,6,7,4,13,16,14,20,17,15,18
"21",5,18,15,13,7,15,8,3,14,9,3,4,7,2,9,15,16,4,7,3
