"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",12,28,14,6,12,17,14,28,1,8,1,27,13,2,9,11,28,28,14,8,2,16
"2",7,10,19,10,24,9,8,24,8,21,23,19,5,4,7,20,5,9,21,12,19,23
"3",22,6,17,4,20,11,18,6,2,3,24,10,24,21,26,21,13,4,15,9,7,9
"4",4,7,8,17,4,20,19,19,24,18,26,24,9,17,17,6,8,10,16,4,4,3
"5",6,24,5,18,3,10,5,5,7,10,10,6,26,20,10,3,18,13,17,7,18,21
"6",17,12,11,20,10,2,26,22,3,13,27,26,25,13,19,25,17,19,26,20,27,18
"7",1,15,1,1,16,13,15,2,28,16,16,28,1,28,28,14,20,17,28,15,13,28
"8",20,23,4,8,17,5,22,23,19,22,20,9,11,19,8,18,21,21,7,6,22,4
"9",26,18,6,12,25,6,24,18,22,4,5,18,20,8,15,7,25,5,20,16,10,25
"10",13,26,18,14,27,28,16,14,27,28,22,17,28,18,1,1,15,27,22,27,14,13
"11",3,8,16,3,22,18,27,16,11,23,4,7,16,25,18,4,12,25,9,19,26,22
"12",2,11,13,28,14,4,4,8,26,25,18,8,15,10,11,26,26,7,11,26,3,15
"13",8,20,7,27,13,22,25,21,4,2,12,13,4,23,3,16,9,6,3,21,12,14
"14",14,17,15,2,1,15,28,13,16,14,14,1,18,6,2,28,1,2,27,2,16,2
"15",23,21,20,24,7,16,3,27,15,17,21,14,10,27,25,2,27,3,19,17,25,11
"16",15,1,2,15,28,14,1,1,13,1,28,15,14,1,14,13,14,14,1,28,28,1
"17",10,19,23,22,19,25,23,7,9,24,17,25,22,5,20,9,23,11,5,10,17,8
"18",5,25,22,5,8,8,10,17,25,5,11,21,21,12,24,17,6,15,10,23,24,7
"19",27,13,26,21,9,12,17,9,23,7,25,5,7,7,4,8,10,26,6,14,21,19
"20",21,3,10,26,11,7,9,10,12,26,7,22,19,26,6,10,7,22,24,13,11,6
"21",9,5,9,19,21,21,11,12,18,6,8,12,3,9,23,24,24,24,23,5,23,12
"22",24,9,24,7,18,24,7,20,5,11,13,4,8,11,12,5,19,16,25,25,9,5
"23",16,16,25,25,23,19,6,25,20,9,15,20,23,24,13,27,11,20,8,3,6,27
"24",25,22,3,16,5,23,13,11,6,20,19,11,17,3,21,22,4,23,13,22,8,26
"25",18,4,21,11,6,26,20,4,17,12,6,23,12,22,5,23,22,8,12,24,20,24
"26",19,14,28,9,2,1,12,15,10,27,9,16,2,15,22,12,16,1,2,1,1,20
"27",28,2,12,13,15,27,2,26,21,19,2,2,27,14,27,15,2,12,4,11,15,17
"28",11,27,27,23,26,3,21,3,14,15,3,3,6,16,16,19,3,18,18,18,5,10
