"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",8,19,15,8,3,20,18,12,21,21,15,13
"2",2,15,9,16,13,3,14,17,3,16,16,15
"3",15,17,5,18,18,17,2,18,13,20,4,12
"4",13,3,20,7,10,12,9,11,4,18,3,16
"5",19,13,7,5,20,10,7,9,18,11,17,17
"6",3,1,11,1,16,16,22,3,12,17,22,22
"7",21,9,16,15,14,15,15,2,20,5,6,14
"8",6,16,13,6,8,5,3,4,10,8,7,11
"9",4,11,19,19,7,13,4,15,19,12,21,5
"10",10,5,3,13,6,8,20,21,17,13,8,18
"11",14,4,6,17,9,19,16,10,9,7,18,8
"12",12,21,21,3,15,7,13,22,14,3,19,10
"13",20,12,12,2,5,18,12,20,8,15,9,4
"14",17,2,10,9,11,2,1,16,22,1,12,1
"15",1,22,2,10,12,22,10,7,16,10,2,2
"16",16,18,18,14,17,9,21,6,6,14,13,3
"17",9,6,14,21,21,4,11,8,15,19,10,7
"18",11,20,8,20,4,14,8,5,1,2,11,19
"19",18,14,22,22,1,1,17,13,11,9,1,21
"20",7,7,17,11,19,21,6,19,7,6,14,20
"21",5,10,4,4,22,11,19,14,2,4,5,6
"22",22,8,1,12,2,6,5,1,5,22,20,9
