"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,11,15,7,6,12,7,4,12,8,13,3
"2",16,3,13,9,15,4,8,7,5,5,16,7
"3",7,5,4,4,13,11,14,8,16,12,14,10
"4",10,16,14,11,16,16,12,15,10,11,12,15
"5",2,6,6,6,2,2,10,12,9,1,11,17
"6",11,15,3,5,10,6,3,3,2,7,10,14
"7",9,2,17,2,8,1,1,16,13,9,1,9
"8",12,1,8,17,9,17,11,1,17,2,9,2
"9",14,12,12,3,7,13,15,11,6,3,5,11
"10",5,13,7,13,14,7,6,13,14,4,6,8
"11",8,10,1,14,1,10,17,17,3,6,17,5
"12",4,8,16,15,12,5,16,2,7,17,8,12
"13",17,7,2,8,11,14,4,14,8,15,7,4
"14",15,9,11,16,5,8,2,10,15,14,15,16
"15",13,14,5,10,4,3,13,5,11,13,3,6
"16",1,17,10,1,17,9,9,9,1,16,2,1
"17",6,4,9,12,3,15,5,6,4,10,4,13
