"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",28,15,27,17,1,2,15,29,16,29,16,29,15,29,16,15,15,3,29,29,1,15,2
"2",7,14,12,28,3,10,26,17,12,7,26,27,12,13,7,23,19,24,12,3,4,25,22
"3",10,26,13,25,11,4,5,5,22,26,8,9,26,17,11,19,20,27,23,27,20,20,17
"4",15,18,17,8,25,14,3,26,2,25,28,8,27,14,13,7,17,9,5,2,3,4,14
"5",16,27,16,4,2,9,13,13,23,3,21,14,2,8,10,8,2,8,17,17,28,26,3
"6",6,11,3,11,9,7,8,19,11,21,4,22,7,10,23,4,21,11,24,5,25,12,9
"7",3,12,23,16,5,11,6,9,7,2,11,13,28,28,25,9,8,25,14,14,10,6,26
"8",19,28,11,19,4,19,22,28,3,20,5,16,16,21,28,10,27,2,11,11,18,28,19
"9",12,16,2,5,19,27,14,2,18,14,3,12,14,1,18,2,16,29,10,22,2,27,27
"10",1,29,28,29,17,29,2,16,1,15,29,15,13,2,15,20,29,16,21,13,15,10,1
"11",24,21,14,3,12,24,4,18,17,18,24,25,9,20,27,14,7,23,2,25,26,9,23
"12",23,10,19,13,28,16,1,15,29,17,6,18,4,19,3,28,14,28,28,15,8,29,8
"13",2,17,1,14,14,28,28,14,14,28,15,2,20,16,2,29,1,1,15,16,29,1,15
"14",27,24,5,6,20,8,16,22,8,4,10,20,21,22,9,24,22,20,9,21,17,5,6
"15",17,5,26,7,7,5,23,23,21,23,7,6,10,5,14,26,4,21,6,12,13,11,20
"16",4,3,6,2,16,18,20,21,27,27,23,19,24,26,12,13,11,13,25,9,14,24,28
"17",29,1,15,15,15,15,12,1,15,1,1,1,1,12,1,17,28,14,1,1,16,16,29
"18",5,22,8,22,23,12,27,20,28,8,12,11,3,3,26,16,13,4,3,28,11,13,13
"19",26,20,10,21,27,6,19,10,4,16,19,4,18,4,5,5,12,22,26,10,24,14,25
"20",9,6,20,18,22,13,21,6,26,22,22,28,17,11,21,12,26,26,8,18,23,3,4
"21",25,4,7,26,8,20,7,11,9,19,17,7,22,9,22,22,10,10,7,19,5,23,5
"22",14,19,25,9,13,17,24,3,5,6,25,5,8,27,24,25,18,12,27,20,22,22,12
"23",22,13,22,27,21,26,25,24,20,5,2,10,23,18,20,11,9,19,19,4,27,17,7
"24",8,8,21,10,24,21,9,27,6,11,9,26,19,6,6,18,5,7,18,24,21,21,21
"25",13,7,9,20,6,25,10,25,24,10,20,3,11,24,4,6,24,18,20,23,9,7,11
"26",20,9,4,24,26,3,11,4,19,12,27,17,6,25,17,21,6,6,13,7,19,2,18
"27",18,2,29,1,29,1,29,12,13,13,18,21,29,15,29,1,25,15,16,26,12,18,16
"28",11,25,24,23,18,22,17,7,10,24,13,24,5,23,8,3,3,17,4,8,7,19,10
"29",21,23,18,12,10,23,18,8,25,9,14,23,25,7,19,27,23,5,22,6,6,8,24
