"","V1","V2","V3","V4","V5","V6","V7"
"1",9,16,10,4,2,5,24
"2",1,26,20,8,5,22,19
"3",2,5,13,12,17,4,1
"4",18,18,19,16,15,8,5
"5",5,9,1,17,11,20,26
"6",7,3,3,9,26,12,4
"7",11,14,22,11,19,16,21
"8",22,11,23,23,1,25,2
"9",17,25,12,22,22,13,25
"10",25,19,26,13,8,11,23
"11",26,15,5,25,20,19,6
"12",3,20,6,19,3,15,10
"13",12,23,9,14,24,26,8
"14",20,4,15,15,4,17,15
"15",8,17,14,20,16,23,16
"16",23,10,11,7,12,14,9
"17",14,21,16,3,9,18,3
"18",16,13,4,10,6,1,13
"19",4,12,18,2,23,10,14
"20",21,22,2,6,18,6,17
"21",13,7,8,24,10,9,18
"22",10,2,21,21,7,7,7
"23",19,1,7,1,14,24,22
"24",24,8,17,18,25,2,20
"25",6,24,24,26,13,3,12
"26",15,6,25,5,21,21,11
