"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",6,3,15,5,20,12,21,10,20,3,21,8,24,4,3,19,18,10,9,3,16
"2",20,6,7,11,4,9,8,23,4,7,20,21,18,9,17,18,3,13,6,20,22
"3",22,20,22,23,17,4,17,19,25,10,24,6,10,11,21,17,7,3,11,10,6
"4",4,21,17,22,3,22,24,9,5,20,23,17,20,23,19,16,17,24,7,17,10
"5",5,11,25,2,16,18,5,27,15,25,18,16,5,6,20,6,16,4,12,18,26
"6",1,2,5,13,2,26,23,17,26,15,6,3,13,10,16,1,14,6,25,15,17
"7",21,10,21,3,8,24,16,18,21,19,12,22,11,16,7,25,25,25,5,7,19
"8",27,14,16,27,1,14,14,2,14,1,14,27,14,1,27,14,26,1,26,27,14
"9",18,13,11,9,22,25,26,4,19,8,13,13,2,25,12,13,2,5,2,19,2
"10",10,22,19,6,7,11,9,22,7,5,7,7,6,22,10,22,22,7,21,16,9
"11",7,4,12,26,19,23,12,25,10,11,25,23,8,20,9,8,6,16,24,4,12
"12",25,5,18,21,11,6,3,5,11,23,5,10,16,24,6,7,9,8,8,12,18
"13",3,19,23,12,5,16,4,6,22,12,11,20,25,8,5,11,4,18,20,9,5
"14",26,27,14,10,13,27,1,14,9,13,27,2,1,13,2,15,20,19,14,26,27
"15",17,25,8,20,15,21,18,24,17,22,3,24,19,3,4,23,13,9,16,21,4
"16",23,7,9,7,21,10,20,8,6,18,4,19,7,7,22,9,21,21,18,11,7
"17",9,8,24,17,18,20,19,7,12,6,8,5,17,18,24,24,5,22,17,23,23
"18",11,23,4,1,12,15,13,11,8,21,15,1,15,15,26,3,1,11,4,2,3
"19",2,24,3,18,25,2,10,3,16,14,10,25,4,19,18,20,19,12,10,8,21
"20",19,17,13,19,9,13,27,26,27,9,2,15,26,21,23,4,23,15,13,1,24
"21",14,1,27,14,14,1,15,1,1,27,26,14,27,14,14,27,27,14,27,14,1
"22",15,16,6,25,6,8,25,13,13,26,16,9,3,5,11,21,8,23,22,6,25
"23",8,12,10,24,23,7,6,21,23,24,9,4,22,12,13,12,24,20,3,24,11
"24",12,9,1,16,10,3,11,12,24,2,19,18,9,27,1,2,15,26,15,22,8
"25",24,15,2,4,26,17,2,20,18,16,22,11,21,26,25,26,11,17,23,13,13
"26",16,26,26,15,27,19,7,15,2,4,1,12,12,2,15,10,12,27,1,5,15
"27",13,18,20,8,24,5,22,16,3,17,17,26,23,17,8,5,10,2,19,25,20
