"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",18,19,20,3,22,20,22,10,4,19,23,3,9,17,6,8,5,16,17,8,10,9,16
"2",4,10,24,10,20,8,21,16,11,6,19,4,23,5,15,21,19,12,20,3,19,22,14
"3",17,23,8,23,23,16,6,17,9,5,9,17,18,20,18,6,10,7,23,9,21,18,21
"4",3,9,14,19,4,18,17,8,23,14,20,22,22,22,23,9,18,6,18,21,11,8,20
"5",19,5,19,22,3,2,16,3,24,10,8,6,14,8,2,7,9,10,12,5,18,16,6
"6",20,8,3,21,21,3,7,5,7,23,22,15,11,15,11,19,17,5,9,22,9,23,11
"7",12,13,12,1,11,24,12,2,16,12,25,16,12,25,12,12,24,24,24,4,24,25,2
"8",24,24,23,8,2,12,2,4,12,24,15,25,16,2,14,10,23,19,10,14,16,13,24
"9",7,21,17,16,6,23,5,6,6,8,14,9,7,7,21,17,8,18,21,20,5,20,9
"10",11,6,21,17,15,10,23,23,5,16,3,21,17,21,17,11,3,17,3,18,15,24,7
"11",9,4,22,2,14,22,3,11,17,3,7,8,19,23,7,23,14,2,7,15,8,15,17
"12",6,20,15,24,19,17,9,22,15,17,17,23,15,3,4,18,12,11,6,2,7,4,3
"13",10,15,4,6,7,6,4,21,18,20,21,10,20,9,9,4,4,8,22,17,17,7,8
"14",16,22,25,7,18,5,15,18,19,9,10,14,10,24,24,3,20,15,11,23,3,3,10
"15",15,17,16,20,5,4,20,24,10,7,18,11,4,18,8,24,15,23,5,16,23,10,23
"16",13,25,2,13,13,13,13,1,1,13,2,1,25,13,1,25,13,13,25,25,13,1,25
"17",23,3,18,4,10,11,10,15,3,18,11,20,5,11,22,22,16,3,19,10,22,6,5
"18",22,18,5,18,9,19,19,19,20,21,6,5,21,16,16,20,21,21,15,11,6,17,4
"19",2,12,13,12,25,1,11,12,2,1,12,24,24,14,10,1,2,25,13,13,2,14,1
"20",14,2,11,14,24,14,1,25,25,11,24,2,1,10,19,13,25,9,2,12,1,12,13
"21",1,1,9,25,12,21,25,13,13,25,1,12,2,1,13,2,11,14,14,24,25,11,12
"22",21,7,6,5,16,15,14,20,22,4,16,19,3,4,3,15,6,22,16,19,12,21,19
"23",25,14,1,15,1,25,24,14,14,2,13,13,13,12,25,14,1,1,1,1,14,2,15
"24",8,16,7,9,8,9,18,9,8,15,4,18,6,6,5,5,22,4,4,7,4,19,18
"25",5,11,10,11,17,7,8,7,21,22,5,7,8,19,20,16,7,20,8,6,20,5,22
