"","V1","V2","V3","V4","V5","V6","V7"
"1",11,1,5,1,14,17,23
"2",6,7,18,10,17,13,16
"3",1,12,8,12,13,4,3
"4",17,15,4,22,7,12,4
"5",21,6,12,4,3,14,1
"6",22,8,3,18,18,6,20
"7",8,23,13,23,22,3,17
"8",9,5,2,7,8,1,10
"9",7,9,9,20,2,19,12
"10",20,4,22,21,12,10,13
"11",19,13,7,8,23,20,15
"12",13,21,6,11,4,8,14
"13",3,18,1,15,20,15,9
"14",15,3,11,13,19,23,7
"15",2,14,23,3,6,22,18
"16",4,2,16,17,5,7,6
"17",10,20,19,19,15,21,2
"18",18,17,20,14,1,2,22
"19",16,16,15,2,16,5,11
"20",5,19,10,6,11,11,21
"21",23,22,17,9,10,18,8
"22",14,11,14,16,9,16,19
"23",12,10,21,5,21,9,5
