"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",10,21,11,11,6,22,23,3,22,16,21,5,22,15,8,19,19,6,9,16
"2",22,15,18,18,7,11,11,6,19,5,7,23,8,20,5,20,6,8,18,20
"3",15,12,3,10,25,1,8,2,2,3,10,2,14,7,10,9,2,1,12,13
"4",13,22,19,23,19,5,4,12,25,13,23,22,12,16,21,4,11,3,11,3
"5",5,5,22,5,22,20,22,14,24,15,9,17,16,21,4,10,3,15,16,10
"6",7,8,8,4,11,7,10,22,7,9,22,16,18,19,17,16,5,7,3,23
"7",9,6,9,21,20,19,9,4,18,7,20,15,5,5,20,11,21,20,17,19
"8",8,18,4,8,10,10,21,17,15,10,6,19,6,3,11,6,20,5,23,5
"9",19,25,25,2,14,14,13,9,1,12,25,1,1,25,14,13,24,13,25,14
"10",20,4,7,15,16,21,2,15,8,22,14,10,11,18,6,3,17,4,24,21
"11",23,20,5,14,23,16,19,11,9,4,15,20,17,22,18,21,18,23,7,7
"12",2,10,2,12,2,9,5,19,20,14,17,3,10,23,24,24,13,18,20,12
"13",21,16,23,6,9,17,3,18,21,8,11,9,23,6,16,5,10,22,6,18
"14",24,3,16,9,17,6,17,7,17,23,16,7,21,4,19,15,7,9,21,6
"15",1,13,13,1,12,13,1,1,16,25,13,25,13,13,1,14,25,25,1,1
"16",6,19,15,20,18,18,7,21,4,6,2,6,20,12,7,17,12,16,22,4
"17",11,14,24,17,24,15,15,23,12,19,19,11,4,2,2,22,9,2,2,11
"18",16,7,17,7,4,23,6,10,3,18,4,18,7,8,22,18,16,11,5,8
"19",25,11,14,13,3,25,25,25,13,1,24,13,2,14,15,1,1,14,15,2
"20",17,9,20,19,5,4,18,20,6,17,18,21,19,11,9,8,22,24,19,15
"21",3,24,1,22,1,24,12,13,10,21,12,24,25,1,13,12,8,12,13,25
"22",14,2,6,24,8,2,14,5,14,11,1,12,24,24,3,2,14,17,4,9
"23",4,17,12,16,15,8,20,8,5,20,5,8,3,17,23,7,4,21,8,17
"24",18,23,10,3,21,3,16,24,23,24,3,14,9,10,12,23,15,19,14,22
"25",12,1,21,25,13,12,24,16,11,2,8,4,15,9,25,25,23,10,10,24
