"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",26,24,26,17,13,5,16,19,27,20,24
"2",4,19,23,23,4,16,8,9,18,15,3
"3",17,25,20,10,19,25,5,25,16,17,13
"4",6,23,11,5,16,10,11,3,4,19,7
"5",14,18,8,8,21,17,20,18,26,2,4
"6",21,20,2,4,6,11,25,27,19,13,22
"7",24,4,22,7,5,23,18,14,5,11,10
"8",11,26,19,15,7,13,23,6,7,3,17
"9",9,11,10,14,8,24,12,1,24,8,25
"10",10,6,15,2,11,2,22,20,14,16,2
"11",15,5,7,9,3,4,6,8,9,22,23
"12",7,27,6,27,27,1,1,13,25,12,16
"13",1,1,12,18,1,20,27,24,22,23,9
"14",23,12,9,25,15,19,21,7,15,18,18
"15",2,8,3,11,18,7,17,10,17,5,12
"16",18,7,24,3,26,15,14,5,23,24,15
"17",25,10,5,16,25,14,10,23,8,14,5
"18",5,13,27,6,12,18,3,22,10,7,19
"19",8,9,21,26,20,9,19,26,6,27,27
"20",16,15,25,19,22,3,26,2,12,9,8
"21",27,22,14,1,23,21,7,11,13,4,26
"22",13,3,17,20,17,12,9,17,20,10,20
"23",20,2,1,22,14,27,4,4,1,1,1
"24",12,21,4,21,10,22,15,16,11,25,11
"25",3,16,16,12,24,26,24,15,2,21,21
"26",22,14,18,13,9,8,2,12,21,26,6
"27",19,17,13,24,2,6,13,21,3,6,14
