"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",12,16,2,11,14,15,3,15
"2",16,19,15,6,7,1,19,19
"3",6,4,19,10,1,17,16,14
"4",17,15,9,14,6,18,10,6
"5",3,10,16,12,15,3,12,7
"6",7,14,8,17,12,5,15,16
"7",10,11,6,7,9,13,17,8
"8",19,5,3,15,16,9,18,1
"9",11,6,14,13,5,10,9,17
"10",15,1,10,8,18,6,11,12
"11",8,3,1,4,8,4,8,5
"12",13,7,12,1,13,16,14,3
"13",5,13,11,9,4,7,2,2
"14",18,12,18,3,11,8,5,13
"15",4,9,7,5,17,19,6,18
"16",9,18,17,19,19,12,7,4
"17",2,17,4,2,3,11,13,11
"18",1,2,13,16,10,14,1,10
"19",14,8,5,18,2,2,4,9
