"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",11,12,23,12,23,10,3,1,23,22,12,1,1,23,13,12,1
"2",17,5,4,6,15,7,19,18,18,17,8,8,17,19,19,10,7
"3",8,9,18,14,6,21,10,15,21,9,2,21,15,20,17,8,21
"4",18,2,19,9,4,2,5,10,13,14,4,13,5,3,7,4,9
"5",5,6,14,16,18,5,17,9,3,21,7,17,7,7,16,16,17
"6",14,10,15,1,12,1,1,22,1,1,11,23,22,12,1,11,14
"7",20,16,21,15,21,13,22,8,6,8,9,10,18,18,5,3,16
"8",7,8,17,4,2,17,21,5,20,16,14,7,11,10,2,21,13
"9",12,4,2,13,7,11,20,2,9,3,22,19,3,14,21,1,12
"10",15,7,6,22,19,16,4,16,15,10,18,16,6,21,6,18,15
"11",10,19,8,8,10,18,8,4,8,20,5,18,19,17,8,17,8
"12",23,22,3,18,11,6,13,3,19,13,13,20,13,2,3,13,22
"13",4,23,5,20,1,15,2,14,2,15,10,11,12,13,23,6,3
"14",9,21,20,5,17,14,18,19,10,11,19,22,9,5,10,9,4
"15",1,1,1,2,20,12,11,12,11,12,1,2,23,11,11,23,23
"16",19,20,10,11,22,22,12,23,22,2,6,12,8,6,22,22,11
"17",6,18,9,7,16,3,6,7,16,4,17,6,10,15,15,5,19
"18",16,3,16,21,14,19,9,6,7,5,15,3,16,4,18,14,5
"19",22,13,11,3,3,4,14,11,5,7,21,15,14,22,14,20,2
"20",21,11,7,10,9,20,15,17,4,19,16,4,2,9,9,7,20
"21",2,14,12,23,13,23,23,13,17,23,23,14,21,1,12,2,10
"22",13,17,22,17,5,8,7,20,12,18,20,9,20,8,20,19,18
"23",3,15,13,19,8,9,16,21,14,6,3,5,4,16,4,15,6
