"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,13,19,8,4,11,19,22,11
"2",2,9,15,19,12,19,9,13,16
"3",1,1,11,6,20,3,16,15,2
"4",12,12,9,5,17,12,13,5,17
"5",22,14,21,1,23,17,23,11,21
"6",4,22,5,15,15,15,18,7,23
"7",20,10,8,11,10,2,6,23,22
"8",16,8,6,21,18,22,20,21,6
"9",19,21,16,3,14,9,10,19,4
"10",10,6,14,12,9,16,22,2,3
"11",14,11,20,16,1,4,11,6,5
"12",11,15,4,22,5,13,5,14,1
"13",9,19,13,18,22,6,1,20,18
"14",7,16,18,10,19,21,7,8,7
"15",18,3,17,20,6,8,17,9,19
"16",8,4,1,4,2,20,12,18,20
"17",5,7,7,2,8,7,2,10,8
"18",6,20,23,23,11,1,14,1,12
"19",17,23,12,7,3,23,3,4,15
"20",15,17,2,9,13,5,21,12,14
"21",13,2,22,13,16,14,4,17,13
"22",21,18,10,14,7,18,15,16,9
"23",23,5,3,17,21,10,8,3,10
