"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",11,29,15,2,1,14,17,29,13,10,1,1,28,16,7,29,1,13,28,8,13,16,2,21,9,12,10,14
"2",9,10,10,22,20,23,26,8,27,21,13,6,25,7,11,25,19,25,11,11,22,6,4,23,20,6,22,9
"3",8,19,24,24,5,21,23,4,10,5,22,21,10,20,5,21,5,3,16,6,19,9,25,8,23,13,26,13
"4",25,25,25,5,12,11,7,6,23,25,24,7,21,19,18,7,16,4,10,5,10,22,11,18,11,5,25,25
"5",27,11,11,15,2,26,12,22,15,28,26,10,13,6,3,27,18,18,17,27,5,26,22,4,24,4,12,18
"6",4,9,3,4,25,19,8,26,28,20,6,22,6,3,6,14,6,9,14,9,17,23,16,10,14,21,23,27
"7",7,21,27,12,10,22,21,7,5,8,9,17,12,4,20,22,25,27,8,16,4,27,5,15,12,22,6,28
"8",21,28,4,28,15,5,9,17,12,14,28,19,19,2,26,28,9,28,27,18,16,1,12,13,15,16,29,29
"9",10,4,19,8,22,10,10,13,21,3,19,5,5,18,24,26,20,6,21,13,6,3,7,6,27,27,14,20
"10",20,7,21,21,7,8,4,5,20,6,7,8,14,8,4,11,7,23,20,23,8,18,17,26,7,26,21,6
"11",2,18,23,17,26,18,2,10,4,17,3,12,22,28,27,17,10,15,23,28,18,25,13,7,21,3,18,2
"12",19,13,1,19,13,4,29,14,2,29,12,25,24,17,15,24,14,2,15,4,1,19,14,2,3,28,15,3
"13",5,23,22,20,23,9,25,27,26,22,21,24,9,22,17,19,13,20,19,26,7,8,19,24,6,8,7,22
"14",24,17,26,10,17,13,6,23,11,27,11,13,8,9,22,23,4,17,5,7,26,7,23,25,19,24,4,5
"15",13,5,9,6,9,17,20,3,9,23,25,18,4,5,25,8,11,7,22,24,24,11,6,19,5,11,11,4
"16",6,12,7,7,3,6,3,9,7,19,18,9,27,24,9,13,23,21,7,17,21,5,26,9,8,19,8,23
"17",28,20,8,27,28,2,14,2,14,18,5,14,3,26,2,4,12,16,13,12,2,10,3,17,28,15,5,17
"18",22,3,16,14,8,29,11,19,1,13,4,28,7,27,13,18,17,12,3,15,15,2,9,27,2,2,27,19
"19",16,26,2,9,18,28,22,16,25,4,8,11,17,13,23,3,3,14,4,21,3,4,27,5,10,9,16,10
"20",17,27,18,11,27,25,18,11,8,26,14,23,26,10,8,9,26,8,26,20,12,13,28,28,25,25,19,21
"21",29,16,14,13,21,20,1,1,29,1,15,29,15,11,16,16,27,19,29,1,28,15,15,1,1,10,1,15
"22",3,2,12,18,14,16,13,12,16,12,29,27,29,15,29,6,2,22,1,2,9,28,18,29,29,17,13,16
"23",1,1,28,29,11,1,15,21,22,15,10,15,20,1,14,1,29,1,18,14,14,12,29,14,16,1,2,11
"24",14,15,29,1,16,12,19,20,18,16,23,26,16,29,1,2,15,29,9,29,29,14,1,3,18,29,20,12
"25",26,6,20,23,24,15,28,25,3,2,20,4,23,12,12,10,8,10,6,25,20,20,10,11,17,14,3,26
"26",15,14,17,26,6,27,27,18,17,24,2,3,2,21,28,5,21,24,25,3,25,17,20,12,13,20,17,24
"27",12,22,13,16,29,3,16,15,19,11,27,2,1,14,10,20,28,11,2,19,27,29,21,16,4,18,28,1
"28",23,8,6,3,19,7,24,24,6,7,17,16,11,25,19,12,24,26,24,10,11,24,24,20,22,7,24,7
"29",18,24,5,25,4,24,5,28,24,9,16,20,18,23,21,15,22,5,12,22,23,21,8,22,26,23,9,8
