"","V1","V2","V3","V4"
"1",29,22,22,18
"2",27,15,5,22
"3",24,28,3,11
"4",15,17,25,10
"5",1,10,13,14
"6",19,26,28,15
"7",10,19,1,16
"8",28,6,11,7
"9",21,4,23,2
"10",2,25,7,20
"11",18,11,20,21
"12",16,5,2,26
"13",26,18,18,4
"14",22,23,12,24
"15",14,29,17,27
"16",13,12,6,9
"17",3,14,27,6
"18",11,24,14,1
"19",6,8,4,3
"20",20,2,8,17
"21",12,7,29,19
"22",9,1,19,12
"23",5,20,24,25
"24",25,9,26,28
"25",8,16,10,29
"26",23,13,15,13
"27",7,27,21,8
"28",4,3,16,23
"29",17,21,9,5
