"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",11,10,18,9,2,15,1,11,11,23,14,28,16,18,15,2,29,11,22,1,23,29,28,28,19
"2",27,3,4,3,24,26,21,20,13,16,13,11,22,20,27,14,9,3,25,8,9,17,24,23,7
"3",25,24,28,18,12,13,7,17,17,15,26,4,5,8,26,12,25,4,10,9,4,24,22,9,25
"4",2,15,25,6,14,24,23,28,25,19,17,26,3,1,16,17,11,28,24,25,11,25,17,18,22
"5",19,11,14,12,19,19,16,13,7,4,20,2,8,26,22,27,27,25,4,27,14,28,12,27,5
"6",4,7,8,22,21,21,8,4,5,11,9,17,9,6,13,6,5,26,9,5,8,20,20,2,16
"7",17,17,2,26,26,6,18,18,19,1,21,27,10,11,20,3,18,16,26,10,21,23,3,8,4
"8",15,8,29,11,13,14,15,16,15,17,2,1,29,13,9,1,3,18,29,29,1,10,1,6,10
"9",10,26,9,13,4,12,11,24,27,10,27,21,23,28,24,8,4,27,14,12,3,15,8,26,14
"10",14,29,1,1,29,8,14,15,14,29,1,22,13,15,5,28,16,17,1,14,2,22,19,19,28
"11",6,20,10,24,9,18,17,21,8,28,22,5,12,22,23,26,10,21,27,13,24,11,27,5,23
"12",5,6,11,19,20,10,24,9,26,26,23,8,14,4,8,21,26,12,19,6,5,7,9,25,11
"13",1,1,15,2,3,1,13,19,3,7,24,12,2,12,2,16,12,1,12,16,29,18,10,12,13
"14",13,25,27,25,17,22,22,14,9,20,11,24,4,24,10,11,6,5,5,11,26,8,7,24,8
"15",23,22,5,8,5,28,20,7,4,21,29,13,17,3,18,4,14,13,2,20,13,6,2,13,20
"16",8,27,23,17,25,29,6,2,12,8,28,15,20,10,4,15,19,20,28,21,17,13,26,21,2
"17",24,4,24,20,22,7,12,25,6,27,6,18,18,5,28,13,21,24,16,22,25,14,6,22,21
"18",22,23,12,16,23,20,9,6,29,25,18,20,28,14,14,25,2,2,18,28,28,27,11,10,17
"19",29,28,22,29,6,2,27,12,2,13,12,10,27,16,11,22,15,29,21,3,12,26,14,14,12
"20",26,19,13,4,10,25,4,23,24,22,7,16,7,19,6,19,24,22,13,4,16,12,4,3,3
"21",21,5,26,7,18,9,19,8,23,5,25,23,24,23,12,18,13,23,7,7,22,9,23,7,24
"22",20,12,16,15,1,11,29,1,16,12,3,29,6,7,29,29,1,14,15,15,15,1,29,15,1
"23",16,13,7,23,8,23,25,22,28,6,4,3,25,9,7,10,23,15,8,18,27,21,25,20,18
"24",9,9,6,27,11,5,5,26,10,18,19,25,26,17,17,20,22,7,6,26,10,5,21,11,6
"25",28,14,3,21,15,3,3,10,20,14,15,7,1,21,3,5,7,19,17,24,19,3,16,29,26
"26",7,18,21,10,27,16,2,27,18,2,10,6,21,2,21,24,8,10,3,2,20,4,13,17,15
"27",12,2,20,28,7,27,10,5,22,3,5,14,11,25,19,23,17,6,23,19,6,16,5,16,27
"28",18,16,17,14,28,17,28,29,1,9,16,19,15,29,1,9,28,8,20,17,7,2,15,1,29
"29",3,21,19,5,16,4,26,3,21,24,8,9,19,27,25,7,20,9,11,23,18,19,18,4,9
