"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",16,13,23,3,17,26,17,14,16,4,7,4,5,9,28,26,4,24,10,21,25,9,15,28,28,3,16
"2",24,28,19,25,4,3,3,18,11,11,26,21,2,11,2,20,10,16,22,19,8,7,14,27,14,27,18
"3",1,29,15,22,1,16,18,29,9,29,15,15,12,1,16,29,16,14,9,2,27,19,29,17,29,14,1
"4",23,7,22,10,9,5,25,7,8,14,13,17,26,5,6,23,22,9,23,17,21,25,9,6,26,6,22
"5",19,17,5,23,22,17,24,25,15,12,4,7,3,27,5,8,6,10,6,10,18,17,8,7,25,28,23
"6",3,8,26,12,23,2,6,19,27,24,11,10,9,10,8,10,26,20,7,7,26,6,13,3,13,17,19
"7",28,15,12,7,27,27,19,20,6,20,27,24,8,20,14,12,27,12,28,28,28,16,20,21,20,18,29
"8",4,6,4,24,21,9,23,15,12,26,24,12,27,22,25,21,8,22,25,11,19,11,18,26,9,8,24
"9",17,27,8,9,12,13,15,5,10,28,17,16,19,21,27,4,24,28,8,20,2,2,17,5,27,26,20
"10",13,20,10,4,14,4,21,21,24,5,21,3,23,26,4,24,21,17,17,22,23,12,25,12,3,23,5
"11",22,25,24,14,16,23,7,24,25,27,23,14,7,25,26,27,17,7,16,16,11,24,5,9,4,9,27
"12",15,24,28,27,19,18,1,9,17,8,20,26,28,24,10,15,28,5,3,9,20,10,19,20,22,4,11
"13",11,12,29,29,13,29,16,1,13,22,1,2,15,13,13,25,29,13,29,13,1,15,1,15,11,29,9
"14",6,11,3,26,5,19,27,17,28,6,19,20,6,15,21,11,25,19,18,27,7,28,12,10,24,7,10
"15",27,19,27,28,18,1,22,12,3,19,6,11,17,16,20,14,1,18,1,29,12,29,28,11,5,16,14
"16",8,22,21,15,25,22,20,6,22,25,25,19,24,6,3,7,5,23,13,23,14,22,4,24,19,19,6
"17",26,14,2,13,24,21,5,13,26,18,5,18,25,7,23,22,12,11,24,8,9,8,26,8,23,22,4
"18",20,2,20,20,10,11,12,27,21,23,16,5,14,19,9,3,2,2,27,24,13,3,21,14,21,2,7
"19",5,23,25,6,6,25,26,23,7,10,10,23,21,18,24,5,7,8,21,6,17,5,11,13,8,20,12
"20",21,16,11,1,3,15,28,3,29,16,28,1,16,4,17,9,14,1,2,5,10,13,16,29,10,12,21
"21",9,9,6,2,15,28,11,26,2,17,22,27,20,12,1,18,9,15,5,14,4,21,24,2,12,1,17
"22",7,21,9,18,26,8,10,22,4,3,9,8,22,3,19,17,20,4,14,26,6,4,3,18,17,11,26
"23",14,26,1,8,20,12,4,10,5,15,12,6,4,14,11,1,19,21,26,4,15,27,10,22,6,5,3
"24",18,4,14,19,7,24,2,28,20,9,3,13,29,8,15,6,23,25,12,18,16,26,22,23,7,24,25
"25",12,10,17,21,28,10,14,2,14,2,18,28,1,2,29,2,15,3,19,15,24,18,23,4,2,21,15
"26",25,5,16,17,2,20,9,8,1,1,29,9,18,29,18,13,11,27,15,12,29,14,2,1,16,15,2
"27",2,18,18,11,11,7,13,4,23,7,2,22,10,28,12,16,3,26,20,3,5,20,27,16,18,10,28
"28",29,1,13,16,29,14,29,16,19,13,14,29,13,17,7,28,18,29,11,1,3,1,6,19,1,13,13
"29",10,3,7,5,8,6,8,11,18,21,8,25,11,23,22,19,13,6,4,25,22,23,7,25,15,25,8
