"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",12,25,27,20,3,15,10,12,26,5,5,3,25,24,25,20,7,15,6,21,13,22
"2",2,18,22,14,23,19,12,23,28,9,26,23,19,13,23,10,2,26,21,12,28,6
"3",13,24,24,17,25,25,16,3,3,19,24,11,5,27,12,17,22,27,19,28,17,25
"4",4,3,7,18,10,10,6,7,5,22,20,25,18,12,27,23,18,24,4,25,12,12
"5",26,6,26,6,20,5,5,9,21,16,12,19,8,6,9,5,6,23,9,22,21,20
"6",28,11,6,23,27,13,22,16,27,8,28,21,6,18,24,12,28,6,12,20,10,21
"7",23,13,3,13,11,7,11,2,13,17,27,4,22,19,3,11,1,16,23,10,3,27
"8",7,5,20,22,6,21,23,25,7,25,4,22,4,10,13,9,4,14,17,14,4,24
"9",19,28,16,29,16,2,2,21,16,29,16,29,15,28,22,7,20,17,14,8,25,28
"10",21,8,25,24,13,22,13,28,22,20,25,5,17,4,8,22,21,3,2,11,18,10
"11",10,10,4,4,24,23,8,11,25,24,7,18,26,11,17,21,24,11,22,6,23,23
"12",17,2,18,9,29,17,15,1,17,2,8,28,14,29,14,14,15,10,1,2,1,5
"13",14,7,2,28,17,24,9,18,2,4,14,15,27,21,11,3,5,5,15,23,20,2
"14",8,26,13,3,28,14,3,20,11,27,22,2,10,9,6,18,8,9,13,19,9,4
"15",18,1,14,2,15,29,29,19,15,1,15,1,16,1,29,15,16,29,29,16,15,29
"16",15,27,15,10,5,18,24,6,10,11,23,24,28,3,5,8,27,12,5,17,27,19
"17",9,4,12,27,4,12,25,10,24,14,21,13,9,26,7,19,9,20,27,4,24,8
"18",20,17,9,12,18,20,28,5,14,26,11,10,3,22,26,28,3,4,8,13,29,13
"19",3,9,23,7,21,4,27,22,8,7,17,12,24,23,10,27,25,18,11,9,6,17
"20",6,19,17,26,22,6,26,4,19,18,9,8,21,5,20,6,19,7,24,24,8,9
"21",1,16,11,16,14,28,1,14,18,10,2,7,2,16,2,2,29,21,7,5,11,14
"22",22,12,19,8,7,11,7,26,6,12,6,6,7,20,21,13,26,13,26,26,26,7
"23",27,22,21,25,9,26,4,8,9,6,18,20,11,7,19,26,11,8,25,7,7,16
"24",25,20,10,5,8,27,21,27,23,23,19,17,23,25,18,4,13,19,10,27,5,11
"25",16,29,1,15,2,3,14,17,29,15,13,16,1,2,15,29,23,28,16,15,2,1
"26",11,15,29,1,1,1,18,13,1,21,29,14,13,14,28,1,14,1,18,1,16,15
"27",29,14,28,19,19,16,19,15,12,28,1,27,29,17,1,25,17,22,28,18,14,3
"28",5,21,8,11,12,8,17,29,20,3,10,26,12,15,4,24,12,2,20,29,19,26
"29",24,23,5,21,26,9,20,24,4,13,3,9,20,8,16,16,10,25,3,3,22,18
