"","V1","V2","V3","V4","V5","V6"
"1",2,9,19,23,5,5
"2",4,27,27,21,15,16
"3",23,3,16,2,16,4
"4",19,2,26,17,26,21
"5",13,29,9,7,19,6
"6",29,11,21,26,17,18
"7",25,19,29,18,21,7
"8",17,14,15,19,1,19
"9",3,20,7,1,12,20
"10",6,13,3,20,25,8
"11",9,17,25,11,13,1
"12",28,6,8,15,8,10
"13",16,24,22,9,24,27
"14",8,22,17,28,28,22
"15",26,16,4,4,27,15
"16",27,28,18,12,10,23
"17",18,21,5,27,9,3
"18",21,8,2,8,14,24
"19",1,15,14,14,18,29
"20",15,10,11,13,29,2
"21",10,25,1,16,6,14
"22",22,26,13,24,23,11
"23",24,18,10,22,4,28
"24",11,4,6,25,20,26
"25",14,5,24,29,11,13
"26",5,7,20,6,22,12
"27",20,23,23,5,2,9
"28",12,12,28,3,7,25
"29",7,1,12,10,3,17
