"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",2,1,17,18,15,29,15,13,1,15,21,21,9,29,18,7,29,28,18,1,15,1,13,29,15,29
"2",19,18,12,3,2,8,2,8,23,4,26,17,3,19,26,17,27,18,19,25,8,8,12,10,28,16
"3",25,2,19,17,20,15,5,9,18,28,2,20,17,21,13,18,21,2,28,28,13,27,25,6,13,27
"4",26,11,18,11,6,27,27,18,4,11,4,22,6,14,24,6,11,11,2,26,21,17,2,7,11,12
"5",22,27,3,23,17,20,9,25,15,21,3,8,7,23,20,23,9,13,3,17,2,6,15,26,23,23
"6",3,28,20,15,1,2,16,23,21,14,12,9,15,2,12,1,4,9,15,22,17,2,27,1,16,28
"7",6,20,14,21,25,28,3,19,24,27,10,6,4,9,27,8,12,21,21,7,25,25,21,14,9,15
"8",21,17,9,7,26,25,25,22,28,18,13,19,20,5,3,19,24,22,7,4,16,14,11,4,26,26
"9",11,13,11,25,4,5,21,3,9,20,5,4,12,20,6,11,25,8,11,8,26,23,6,17,25,21
"10",10,6,5,14,27,4,18,24,5,24,18,13,19,24,23,10,7,23,24,20,9,20,8,5,24,6
"11",18,25,16,13,7,26,7,20,3,22,23,5,23,10,4,13,22,5,27,14,7,5,4,16,5,9
"12",9,7,24,9,22,11,20,27,22,26,25,28,5,18,7,22,14,7,13,21,24,7,9,24,7,18
"13",1,15,15,29,28,16,1,14,2,2,14,18,14,12,1,15,2,1,8,29,18,13,17,22,27,1
"14",4,23,8,10,11,12,26,10,12,23,20,10,8,7,14,26,23,27,4,27,12,26,24,23,12,8
"15",23,12,1,27,23,21,17,1,17,16,27,12,1,17,8,2,18,15,12,12,10,11,28,2,3,2
"16",5,24,10,26,12,14,13,12,26,12,24,25,24,26,21,25,8,4,9,5,14,24,3,3,10,14
"17",16,3,21,6,24,6,10,5,6,10,22,2,11,6,22,20,6,10,6,6,6,16,19,13,6,24
"18",15,9,4,24,8,7,8,26,7,6,6,26,10,4,10,27,19,24,25,10,20,10,18,8,8,13
"19",17,29,28,1,16,3,23,15,16,13,1,24,2,16,2,14,3,17,23,2,3,29,14,18,14,7
"20",12,26,2,5,21,22,11,2,14,7,17,27,21,3,17,3,16,14,26,23,23,22,5,25,18,22
"21",13,14,27,28,9,17,28,17,8,29,28,29,29,1,28,16,15,16,16,15,1,18,29,15,29,20
"22",8,4,13,4,5,19,12,21,19,3,9,15,27,27,5,9,17,20,1,19,4,21,23,19,2,19
"23",7,10,22,22,19,23,24,4,25,8,7,3,22,15,11,24,13,26,20,24,5,3,7,12,20,10
"24",14,19,26,2,18,24,19,29,11,5,15,7,13,28,19,28,26,3,17,13,28,19,26,9,19,3
"25",28,16,7,16,13,13,29,16,29,1,29,1,16,22,15,12,1,29,29,16,29,15,16,20,4,25
"26",27,8,25,20,10,10,4,28,27,9,19,11,18,8,16,4,20,12,10,9,11,28,10,27,22,5
"27",24,21,23,8,14,9,6,6,10,25,16,23,25,25,9,5,10,25,5,11,27,4,20,11,21,11
"28",29,22,29,19,29,1,14,11,13,17,8,14,28,13,29,29,28,19,14,18,19,12,1,21,1,17
"29",20,5,6,12,3,18,22,7,20,19,11,16,26,11,25,21,5,6,22,3,22,9,22,28,17,4
