"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,21,15,27,27,17,2,14
"2",7,19,26,2,8,3,15,12
"3",18,29,22,7,12,9,24,19
"4",29,10,19,13,28,14,23,3
"5",17,16,18,28,4,7,5,4
"6",2,2,8,14,13,8,12,2
"7",26,17,1,5,24,10,13,17
"8",23,1,16,1,19,16,19,26
"9",10,24,2,18,1,15,20,10
"10",15,7,6,24,7,12,10,29
"11",25,6,25,17,3,24,18,7
"12",16,15,29,10,29,23,11,24
"13",4,12,28,21,21,11,27,9
"14",9,8,21,6,18,27,4,13
"15",20,11,4,8,11,18,1,6
"16",28,26,9,20,9,26,7,16
"17",12,28,24,25,16,21,14,1
"18",19,3,12,23,25,29,16,11
"19",22,25,14,11,20,1,9,8
"20",14,22,7,3,22,25,26,5
"21",11,4,23,19,23,4,6,20
"22",1,18,17,12,10,28,21,28
"23",8,9,3,29,15,22,25,18
"24",13,5,13,9,5,5,29,15
"25",5,13,11,4,2,20,8,22
"26",27,14,10,26,17,2,22,23
"27",6,27,5,16,26,6,17,25
"28",24,23,27,15,14,13,3,27
"29",21,20,20,22,6,19,28,21
