"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"1",6,5,19,29,23,24,2,27,28,13,8,7,21,10,6,30,8,13,9,19,10,24,10,7,13,14,27,31,6,11,20
"2",25,8,14,4,13,12,24,16,19,8,5,23,16,6,25,11,7,4,18,26,22,18,9,4,4,7,2,25,30,3,4
"3",11,24,12,30,7,9,6,25,5,10,22,27,9,2,28,13,26,18,5,24,11,4,23,10,15,6,20,8,23,7,24
"4",16,1,1,10,11,22,5,10,31,1,32,13,15,15,22,24,32,12,4,27,14,23,29,19,2,29,13,13,16,18,2
"5",26,2,9,2,8,32,8,26,18,32,14,24,18,23,17,28,14,30,21,16,20,3,11,23,19,25,30,1,24,19,30
"6",2,14,16,1,18,17,32,14,32,2,21,32,8,14,12,32,17,21,23,2,31,2,32,6,17,15,9,21,18,32,22
"7",23,20,13,6,17,21,12,19,9,25,26,9,27,1,14,27,29,29,24,8,8,30,14,30,8,3,11,30,14,5,12
"8",30,11,22,28,4,19,10,4,7,5,24,15,26,24,2,22,22,11,22,20,25,11,8,12,22,20,6,9,4,2,8
"9",28,26,18,21,21,10,29,29,21,3,20,6,6,17,4,16,31,26,3,10,17,13,7,32,20,31,23,23,28,14,5
"10",20,7,29,31,25,15,9,30,2,9,11,14,5,31,16,5,15,6,26,7,16,14,30,24,5,4,29,16,17,29,11
"11",24,27,2,3,9,4,27,12,6,15,31,19,31,12,9,4,18,9,10,12,13,15,6,15,25,13,26,32,12,27,28
"12",21,4,27,27,20,8,15,5,10,28,16,16,13,4,29,21,4,15,7,3,28,28,12,16,24,32,14,28,25,31,25
"13",8,19,17,19,6,6,14,32,22,20,30,31,20,28,30,29,12,19,31,31,15,17,13,25,32,10,15,24,3,28,3
"14",13,25,20,32,12,16,26,2,17,4,1,4,32,20,18,19,6,3,25,32,5,31,17,29,14,18,16,4,21,23,27
"15",12,31,21,9,5,25,16,3,23,23,13,5,7,7,11,7,16,14,6,4,23,9,15,26,6,8,4,12,2,13,31
"16",9,30,30,12,31,27,19,15,3,7,12,18,14,25,3,25,23,31,17,21,12,22,16,3,30,1,12,20,29,22,29
"17",1,18,10,15,1,18,4,17,29,19,25,17,2,3,1,9,2,1,15,18,21,29,18,31,27,21,32,15,27,26,15
"18",17,16,3,26,3,20,20,8,13,30,4,30,11,11,7,15,9,27,32,9,18,25,27,5,21,2,25,6,8,17,6
"19",29,23,32,22,32,31,11,9,24,17,28,22,22,13,24,17,1,16,20,1,2,5,4,2,7,9,24,14,20,20,14
"20",14,28,15,20,27,29,30,28,1,22,2,20,30,8,23,31,5,20,13,13,24,16,28,21,26,24,8,10,19,6,9
"21",5,15,25,8,14,30,31,31,16,24,19,11,10,22,27,2,28,7,16,29,30,26,3,13,23,5,22,2,13,16,13
"22",7,29,28,23,16,7,3,11,20,29,9,28,28,27,15,10,30,5,12,15,19,1,21,8,11,27,7,26,11,21,10
"23",3,22,5,7,26,11,7,13,8,18,3,10,12,26,8,14,3,22,29,28,27,10,5,20,9,28,18,19,9,8,26
"24",19,21,4,24,15,28,17,23,30,12,15,26,4,21,21,18,24,2,28,6,3,20,1,17,29,23,3,27,1,9,23
"25",10,6,8,11,22,13,13,18,12,11,18,8,25,19,26,3,10,23,1,5,6,7,19,1,28,22,1,3,10,25,7
"26",15,9,7,25,30,14,21,24,26,26,27,2,29,29,13,12,20,28,8,22,26,19,2,14,3,11,10,7,26,24,21
"27",27,32,31,18,10,3,18,20,11,16,17,1,3,18,19,26,11,24,11,25,32,32,26,9,1,19,31,17,7,1,17
"28",32,17,6,16,19,2,1,1,4,31,7,3,19,16,32,1,21,17,19,17,1,21,31,27,18,12,5,18,32,15,18
"29",22,12,11,14,29,23,23,6,15,14,10,29,23,32,10,20,27,10,2,30,29,6,25,28,31,17,28,29,22,12,16
"30",18,13,23,5,28,1,28,7,25,6,23,25,17,30,31,8,13,32,14,11,9,27,20,22,12,26,21,11,5,4,19
"31",4,3,26,13,24,5,22,21,14,27,29,21,1,9,5,23,19,8,27,14,4,8,22,18,10,16,17,5,31,10,1
"32",31,10,24,17,2,26,25,22,27,21,6,12,24,5,20,6,25,25,30,23,7,12,24,11,16,30,19,22,15,30,32
