"","V1","V2","V3","V4","V5","V6","V7"
"1",25,16,24,19,3,7,14
"2",9,23,4,17,19,12,17
"3",17,9,22,12,16,15,19
"4",23,7,19,7,5,18,4
"5",1,26,16,11,8,1,11
"6",15,19,20,26,18,2,26
"7",18,14,2,6,25,3,10
"8",16,24,5,24,2,24,6
"9",14,1,15,3,1,11,21
"10",7,6,9,20,6,4,23
"11",27,20,8,2,13,14,8
"12",20,27,27,21,22,17,1
"13",21,5,13,22,20,10,7
"14",13,10,6,15,12,6,2
"15",2,17,10,23,26,19,20
"16",12,4,7,9,23,20,13
"17",5,2,23,18,14,23,9
"18",19,18,12,14,7,22,15
"19",8,15,14,4,17,26,3
"20",4,13,3,10,4,16,27
"21",3,8,26,1,21,5,16
"22",10,12,18,25,9,13,12
"23",22,25,11,8,15,8,22
"24",6,21,21,13,27,9,5
"25",26,11,17,16,24,25,25
"26",24,3,1,27,11,27,18
"27",11,22,25,5,10,21,24
