"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",11,5,15,1,10,17,12,12,16,16,5,1,8,1,16,24,26,12,16,14,26,2,27,5,24,4
"2",16,15,4,16,5,20,7,9,24,24,4,26,20,18,25,16,25,21,20,4,7,3,15,19,8,18
"3",17,20,1,2,27,13,11,22,6,12,2,23,1,5,13,17,14,25,8,20,23,25,13,18,16,25
"4",19,2,22,6,4,22,5,5,3,2,21,6,26,10,12,5,15,17,3,15,8,9,14,15,17,3
"5",7,14,13,22,9,26,20,23,26,14,17,2,27,13,11,22,4,7,14,1,3,26,8,16,18,27
"6",23,23,10,11,1,1,26,14,15,1,15,22,14,27,9,18,12,16,17,6,12,27,16,1,27,1
"7",20,7,20,19,8,4,17,6,19,13,26,12,2,23,10,26,17,26,24,10,16,16,23,17,3,24
"8",12,4,24,23,19,6,2,21,18,25,22,21,10,14,4,20,24,11,5,18,9,23,17,23,23,15
"9",13,12,2,27,7,2,23,8,25,7,3,14,9,16,19,7,10,5,4,27,20,10,19,12,22,11
"10",15,21,16,13,16,8,6,2,27,18,10,13,15,7,2,15,1,27,27,21,1,15,1,13,26,5
"11",6,9,19,5,21,16,22,17,10,5,6,18,23,20,7,21,9,20,23,24,2,7,22,22,13,10
"12",14,25,21,17,18,7,21,18,2,19,1,5,3,24,18,12,6,14,1,12,6,1,10,2,10,17
"13",21,3,5,14,13,23,10,10,9,4,9,3,7,21,6,13,2,10,12,25,17,22,5,26,1,16
"14",5,6,3,18,20,3,16,4,8,21,11,24,24,8,5,2,16,15,15,8,18,8,6,4,19,20
"15",2,18,6,7,24,10,4,7,7,23,18,10,6,17,15,23,13,8,9,3,4,17,21,8,4,8
"16",1,17,23,10,3,27,14,13,12,17,12,20,4,3,24,6,7,2,26,13,10,19,20,25,20,19
"17",26,1,12,15,17,11,1,27,1,6,14,17,12,11,27,27,5,3,18,9,25,5,18,14,12,22
"18",4,16,9,12,6,5,19,24,11,11,20,9,16,6,26,19,21,18,2,17,19,4,3,24,2,9
"19",18,27,18,20,25,21,24,3,17,8,7,19,22,4,23,25,19,6,11,16,11,20,7,10,6,12
"20",8,11,14,9,2,15,25,11,5,26,25,16,17,25,3,10,27,1,10,19,27,14,9,11,9,26
"21",10,24,17,3,22,9,9,15,23,3,24,7,21,19,20,9,18,9,19,7,21,18,2,21,21,21
"22",27,19,27,24,15,14,27,1,14,27,23,4,19,2,14,14,8,22,13,2,22,11,26,27,14,14
"23",24,22,8,26,23,18,18,16,20,22,16,8,5,9,8,3,23,4,22,22,14,6,12,20,11,2
"24",22,8,26,8,11,12,15,26,22,20,19,25,25,15,22,11,11,13,25,26,24,21,11,6,5,6
"25",25,10,11,21,26,24,8,25,13,15,13,11,18,22,21,8,20,19,7,23,5,13,25,3,25,23
"26",3,13,25,25,12,19,3,20,4,10,8,15,11,26,17,4,22,24,21,5,15,24,4,9,15,7
"27",9,26,7,4,14,25,13,19,21,9,27,27,13,12,1,1,3,23,6,11,13,12,24,7,7,13
