"","V1","V2","V3","V4","V5","V6"
"1",22,24,10,25,6,14
"2",8,12,6,21,2,11
"3",20,20,26,14,1,26
"4",10,22,28,26,17,4
"5",1,21,2,28,26,19
"6",28,25,24,12,22,7
"7",23,28,5,1,20,29
"8",26,18,3,19,9,3
"9",19,4,8,24,27,6
"10",16,19,15,3,24,10
"11",9,6,27,7,25,23
"12",13,1,4,13,18,15
"13",15,26,14,16,11,18
"14",24,5,29,17,14,12
"15",11,27,17,8,4,1
"16",17,9,1,11,7,22
"17",3,2,19,23,10,28
"18",27,10,16,27,16,25
"19",25,13,18,9,28,17
"20",21,11,20,5,12,5
"21",5,8,13,15,21,2
"22",14,7,23,29,5,9
"23",7,23,7,6,13,24
"24",18,17,22,22,19,21
"25",6,29,21,20,29,13
"26",12,14,11,18,23,27
"27",29,3,12,4,3,20
"28",4,15,25,2,8,16
"29",2,16,9,10,15,8
